,hypothesis,root,reference,E_ratio
35,1242.0034395510002,1242.0034930906913,1242.0034930906913,5.3539691180048976e-05
36,1268.651082936,1268.6510898853983,1268.6510898853983,6.949398311917321e-06
37,1242.904401927,1242.90453083407,1242.90453083407,0.00012890707012047642
38,1256.655832635,1256.6558411622896,1256.6558411622896,8.527289537596516e-06
39,1246.588525932,1246.5885976397492,1246.5885976397492,7.170774915721267e-05
40,1230.671624887,1230.6716792478019,1230.6716792478019,5.436080186882464e-05
41,1243.229706485,1243.2296598989988,1243.2296598989988,-4.6586001190007664e-05
42,1238.194902247,1238.1949141315004,1238.1949141315004,1.1884500281666988e-05
43,1235.454361257,1235.4544085985908,1235.4544085985908,4.734159074359923e-05
44,1231.1753426960001,1231.1753792851282,1231.1753792851282,3.658912805803993e-05
45,1211.445907427,1211.4458501671302,1211.4458501671302,-5.725986989091325e-05
46,1210.424564148,1210.4245969855513,1210.4245969855513,3.28375513163337e-05
47,1207.273555645,1207.2735551296398,1207.2735551296398,-5.1536017053877e-07
48,1201.375486873,1201.3755217155535,1201.3755217155535,3.484255353214394e-05
49,1214.152557464,1214.1525603328591,1214.1525603328591,2.8688591555692255e-06
50,1222.888092419,1222.8880825402898,1222.8880825402898,-9.87871021607134e-06
51,1201.159364822,1201.1592880718874,1201.1592880718874,-7.675011261198961e-05
52,1210.572861217,1210.572824160075,1210.572824160075,-3.705692506628111e-05
53,1216.319314802,1216.3192740360066,1216.3192740360066,-4.076599338986853e-05
54,1204.375433574,1204.3754156764805,1204.3754156764805,-1.7897519455800648e-05
55,1210.004307115,1210.004338593495,1210.004338593495,3.147849497509014e-05
56,1226.047101827,1226.0470754149642,1226.0470754149642,-2.641203582243179e-05
57,1221.15193526,1221.1518742316641,1221.1518742316641,-6.1028335949231405e-05
58,1228.1859632160001,1228.1859809967705,1228.1859809967705,1.7780770349418162e-05
59,1241.483768368,1241.4837792709056,1241.4837792709056,1.0902905614784686e-05
60,1230.6740486639999,1230.674104452194,1230.674104452194,5.578819400398061e-05
61,1228.778080779,1228.7779985273094,1228.7779985273094,-8.225169062825444e-05
62,1253.834928409,1253.834944701055,1253.834944701055,1.6292055079247802e-05
63,1248.293062395,1248.2930862443443,1248.2930862443443,2.384934418842022e-05
64,1236.881304924,1236.8812715705385,1236.8812715705385,-3.335346150379337e-05
65,1199.764627889,1199.7645167859696,1199.7645167859696,-0.0001111030303491134
66,1223.851000206,1223.850909465283,1223.850909465283,-9.074071704162634e-05
67,1221.80598539,1221.8060492873192,1221.8060492873192,6.389731925082742e-05
68,1223.501225435,1223.5012816033222,1223.5012816033222,5.616832231680746e-05
69,1220.1724284919999,1220.1723746301232,1220.1723746301232,-5.3861876722294255e-05
70,1217.511796945,1217.5118305735334,1217.5118305735334,3.362853340149741e-05
71,1210.653599302,1210.653640904942,1210.653640904942,4.160294201938086e-05
72,1211.051776338,1211.0518029612865,1211.0518029612865,2.6623286430549342e-05
73,1199.19454108,1199.1945366462478,1199.1945366462478,-4.433752110344358e-06
74,1211.897323022,1211.8972933311275,1211.8972933311275,-2.9690872452192707e-05
75,1195.7129864810001,1195.71298329964,1195.71298329964,-3.181360170856351e-06
