iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	root_theta	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
    171	4.411285	     7000	1.516466	        4	57.793709	5.435812	-1348749.728556	-1401794.401786	-53044.673230
    172	4.392779	     7000	1.519563	        2	57.770694	5.450810	-1348670.207999	-1401754.576044	-53084.368046
    173	4.373921	     7000	1.508168	        0	57.640125	5.428330	-1348667.462269	-1401691.853945	-53024.391676
    174	4.396277	     7000	1.513840	        1	58.148608	5.416944	-1348690.112319	-1401749.119023	-53059.006704
    175	4.406408	     7000	1.507366	        2	58.273430	5.274280	-1348712.065216	-1401733.072188	-53021.006972
    176	4.357202	     7000	1.504428	        4	58.639732	5.285460	-1348592.953646	-1401730.439186	-53137.485540
    177	4.363631	     7000	1.505447	        7	58.426378	5.279778	-1348537.302881	-1401689.080124	-53151.777242
    178	4.387664	     7000	1.518555	        4	58.381532	5.502194	-1348620.659756	-1401688.376581	-53067.716826
    179	4.455839	     7000	1.534391	        4	58.069393	5.521808	-1348768.897006	-1401700.741947	-52931.844941
    180	4.371393	     7000	1.520302	        5	58.492687	5.405556	-1348636.575749	-1401686.444153	-53049.868404
    181	4.323818	     7000	1.485449	        6	58.796731	5.385760	-1348572.668293	-1401679.595452	-53106.927159
    182	4.269786	     7000	1.476816	        5	58.472347	5.186926	-1348433.651098	-1401716.168508	-53282.517410
    183	4.350372	     7000	1.505541	        4	57.965045	5.207252	-1348619.608832	-1401714.658873	-53095.050041
    184	4.344096	     7000	1.503173	        4	57.635575	5.222546	-1348549.823742	-1401682.203237	-53132.379495
    185	4.256611	     7000	1.464992	        3	57.408241	5.044087	-1348324.362321	-1401666.547197	-53342.184877
    186	4.247269	     7000	1.478978	        2	56.971908	5.200291	-1348317.943839	-1401684.874262	-53366.930423
    187	4.293622	     7000	1.475688	        2	56.433635	5.186448	-1348407.796298	-1401668.987405	-53261.191107
    188	4.161936	     7000	1.422601	        3	56.269196	4.923628	-1348252.732111	-1401736.102827	-53483.370717
    189	4.244109	     7000	1.462541	        6	56.356803	4.943481	-1348318.529539	-1401729.796251	-53411.266711
    190	4.098177	     7000	1.405580	        3	56.250348	4.929825	-1347991.419782	-1401708.927005	-53717.507222
    191	4.127561	     7000	1.425210	        3	55.940517	4.913660	-1348095.518418	-1401704.487094	-53608.968675
    192	4.127828	     7000	1.433138	        4	56.211586	4.931730	-1348124.439807	-1401706.694728	-53582.254921
    193	4.164679	     7000	1.435749	        3	56.043378	4.911446	-1348186.868338	-1401754.964084	-53568.095746
    194	4.166453	     7000	1.432673	        7	56.371000	4.926168	-1348261.739929	-1401734.519787	-53472.779859
    195	4.141823	     7000	1.427735	        4	56.856984	4.943096	-1348234.274106	-1401727.479502	-53493.205396
    196	4.155081	     7000	1.441478	        3	57.652791	4.927181	-1348239.141381	-1401748.837020	-53509.695639
    197	4.158358	     7000	1.436602	        5	57.269931	4.944091	-1348244.135194	-1401754.303301	-53510.168107
    198	4.224072	     7000	1.449353	        5	56.566900	4.951671	-1348416.445368	-1401800.659773	-53384.214405
    199	4.241244	     7000	1.449711	        6	56.538932	4.968971	-1348409.846271	-1401773.729901	-53363.883630
