Sample	theta_A	theta_B	theta_C	theta_AB	theta_root	tau_AB	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
11	1.01037768363544810945597873796941712	1.03312170838547401352514043537667021	1.19871709091889355747184708889108151	0.66302995601982095408288842008914798	0.90099873048342948855804479535436258	0.51182909172714818879512677085585892	2.95184268354895618102773369173519313	-1038.98080465643988645751960575580596924	-14340.82326583793656027410179376602172852	3951.01521927353860519360750913619995117
12	0.96659975338464165783847192869870923	1.08229719128097623404016758286161348	1.26711895624196313470122277067275718	0.66464616700140022320653088172548451	0.91534824024841510148320367079577409	0.50364852239497281960467489625443704	2.99276894008385818679585099744144827	-1035.45407415201043477281928062438964844	-14303.54850004356921999715268611907958984	3949.00775852346487226895987987518310547
13	0.96855370391070139124423121756990440	1.09613631554429269421291337494039908	1.31370533326703098353505083650816232	0.67540303043476934696798252844018862	0.93631666901755905563220494514098391	0.49347919352097047163141496639582328	2.96468199363285078717922260693740100	-1033.95697562807049507682677358388900757	-14304.93181135865233954973518848419189453	3965.36205507794693403411656618118286133
14	1.02052179102558548962065287923905998	1.09364526753898427813282978604547679	1.31071984414164521837165011675097048	0.71209408435295706851775321410968900	0.90448599985704059012192601585411467	0.48211188279577465998215757281286642	2.94786628561513053270459749910514802	-1033.40920698429931690043304115533828735	-14304.38617010256712092086672782897949219	3970.29410025957440666388720273971557617
15	1.05119537305838273155700335337314755	1.14367724618539545744511087832506746	1.26506669022635320764891275757690892	0.70177345596448204023687367225647904	0.85305223370631499957283949697739445	0.47511743642617998428789860554388724	2.98358142766972145309978259319905192	-1037.63692535836139541061129420995712280	-14307.34987302392801211681216955184936523	3930.98061944031360326334834098815917969
16	1.04741566448878686834689233364770189	1.07510463047925886037603504519211128	1.20555184764682810083513686549849808	0.69009538532115310971448707277886569	0.83100732687225642436601447116117924	0.46915745153345778106768193538300693	2.95841127782616153396588742907624692	-1036.83324477445603406522423028945922852	-14302.27802646944837761111557483673095703	3933.94557872488803695887327194213867188
17	1.09989903107222986022861732635647058	1.03049342146368649864029976015444845	1.28085797296224246366591614787466824	0.71278610123028285361357347937882878	0.85287698345270346322877230704762042	0.46107285315050217100463214592309669	2.96476714147535691523671630420722067	-1037.05142303320099017582833766937255859	-14301.83463846226914029102772474288940430	3931.32040813025923853274434804916381836
18	1.09989903107222986022861732635647058	0.98360928767332156397174003359396011	1.28085797296224246366591614787466824	0.70645144221513367366327429408556782	0.81227450232321829481918484816560522	0.46754976458939195849140446625824552	2.94333946284575675989003684662748128	-1035.85858667009961209259927272796630859	-14301.55648902101165731437504291534423828	3942.97062232001553638838231563568115234
19	1.09549207982942320427355298306792974	0.94711636799608178716169959443504922	1.31331907065663133771238335611997172	0.73582978699510959152974010066827759	0.80901997256513324963123068300774321	0.47404966322657920985150781234551687	2.90980583870028786108719032199587673	-1036.13566537716405946412123739719390869	-14305.99798197685413470026105642318725586	3944.64132820521444955375045537948608398
20	1.04806149440417906149036753049585968	0.94947747962495931961512951602344401	1.35941593241382441270559411350404844	0.77726489315057323281621393107343465	0.75356169276157181080577629472827539	0.48385790263335554106660651996207889	2.91705983265043711227804124064277858	-1035.65563792931743591907434165477752686	-14297.33180455221190641168504953384399414	3940.77542525903663772623986005783081055
