,logPrior,time_stats,num_coal,theta_root,P_Z_M,P_Z_M0
90,12.310964,7.870336,150,0.000717572,-9456.629899,-9778.091118057195
91,11.992627,8.324163,150,0.000739034,-9763.861713,-10078.075375698478
92,11.659296000000001,8.56832,150,0.000739034,-10088.864123000001,-10408.448538502895
93,11.156785000000001,8.593303,150,0.0007580889999999999,-9841.901983,-10153.801856910513
94,10.582133,8.939478999999999,150,0.0007580889999999999,-10288.838776,-10610.444810442352
95,9.278116,9.217685000000001,150,0.0007980989999999999,-10068.257259999998,-10375.58710696262
96,8.051142,9.372138,150,0.0008464080000000001,-9613.509004000001,-9907.6887794085
97,7.730228,9.669399,150,0.000848151,-9935.867702,-10235.72324939492
98,7.414683,10.071235,150,0.000849842,-10376.658131999999,-10686.173510119741
99,6.825732,10.145536,150,0.000885995,-10000.604829,-10292.716223842406
100,6.279018,10.349869,150,0.000885995,-10227.125031,-10523.341678839333
101,5.814499,10.622832,150,0.000904139,-10300.84353,-10593.862603434305
102,5.814499,10.577767,150,0.000904139,-10247.259366,-10544.01960363007
103,4.718733,10.571454,150,0.0009580529999999999,-9616.782605,-9887.747014621533
104,3.9745489999999997,10.871161,150,0.000959798,-9901.740679,-10180.21909407398
105,3.630703,11.186855,150,0.000962862,-10190.531976,-10472.524645896534
106,2.700788,11.508984,150,0.0009649980000000001,-10485.207333,-10780.953251692375
107,2.379427,11.542904,150,0.000997134,-10156.254426000001,-10435.515162126774
108,1.2716049999999999,11.658626,150,0.001039625,-9816.399120999999,-10079.954553136013
109,1.203893,11.893874,150,0.001041566,-10023.251936,-10285.196027217686
110,0.9047629999999999,12.072513,150,0.0010455969999999999,-10140.917907,-10412.600689106242
111,0.7712060000000001,12.187818,150,0.00104941,-10208.901235,-10481.070506556915
112,0.646817,12.437807000000001,150,0.001051825,-10419.000621,-10692.421182708174
113,-0.168457,12.623141,150,0.001051825,-10583.161965000001,-10868.62349773206
114,-0.399393,12.686781,150,0.001054457,-10610.22408,-10899.395912510532
115,-0.950659,12.86229,150,0.001054454,-10768.935997,-11065.875099590108
116,-1.307101,13.058327,150,0.001054454,-10946.142855,-11251.788377931318
117,-2.07137,13.040208999999999,150,0.001057872,-10885.009455,-11195.134188799102
118,-3.287717,12.937261999999999,150,0.0010935019999999999,-10405.39277,-10704.308871161948
119,-3.9734730000000003,13.383304999999998,150,0.001097205,-10764.827597,-11071.41352481653
120,-4.6945,13.580604999999998,150,0.001101735,-10883.128755,-11200.959757643406
121,-5.333291,13.855782000000001,150,0.001105299,-11089.185324,-11410.659210998552
122,-6.374078,13.910410999999998,150,0.001105299,-11131.171665,-11460.08384632347
123,-7.09974,13.758229,150,0.0011219799999999999,-10815.466303,-11139.583645777802
124,-7.526932,13.862656,150,0.0011219799999999999,-10904.459765000001,-11232.65749736161
125,-9.294636,14.104875,150,0.001160327,-10715.839173,-11038.118190457286
126,-10.368141,14.043882,150,0.00121726,-10126.236006000001,-10426.645303501953
