Sample	theta_A	theta_B	theta_C	theta_ANC	theta_ROOT	tau_ANC	tau_ROOT	m_A->B	m_B->A	m_A->C	m_C->A	m_B->C	m_C->B	Complete-ld-ln-avg	Data-ld-ln	Gene-ld-ln
8990	 9.14948	 9.77449	 9.90187	 9.67115	 9.81040	 1.70878	 2.90820	 0.00000	 1.10801	 0.05732	 0.84884	 0.00000	 0.00097	-1352.906062	-2863480.303813	157668.179503
9000	 9.27881	 9.39693	 9.60405	 9.57662	 9.87665	 1.71447	 2.91893	 0.00000	 1.10232	 0.07359	 0.84448	 0.00000	 0.00107	-1353.147656	-2863477.150971	157181.839893
9010	 9.21442	10.11919	 9.38223	 9.82930	 9.91848	 1.72406	 2.95115	 0.00000	 1.09767	 0.08804	 0.84091	 0.00000	 0.00069	-1353.326408	-2863543.658159	156890.842258
9020	 9.45913	 9.89249	 9.56118	10.08544	 9.68478	 1.66860	 2.85621	 0.00000	 1.07933	 0.06793	 0.86887	 0.00000	 0.00122	-1353.003622	-2863435.976024	157428.733013
9030	 9.29523	10.43542	 9.78078	10.27676	10.01037	 1.73492	 2.95704	 0.00000	 1.04807	 0.08685	 0.84370	 0.00000	 0.00087	-1353.569942	-2863545.825676	156405.942454
9040	 9.19159	10.27013	 9.95117	10.41422	10.42200	 1.76689	 2.99308	 0.00000	 1.02911	 0.11358	 0.84298	 0.00000	 0.00125	-1353.767763	-2863519.989288	155984.462669
9050	 8.98580	 9.84755	 9.62822	 9.89848	10.58849	 1.71798	 2.89629	 0.00000	 1.05104	 0.11090	 0.86095	 0.00000	 0.00278	-1353.547120	-2863438.161380	156343.920490
9060	 8.92701	 9.77915	 9.67713	 9.51079	10.34896	 1.72146	 2.81487	 0.00000	 1.03583	 0.10428	 0.82069	 0.00000	 0.00145	-1353.548430	-2863434.997195	156338.137450
9070	 9.85739	10.48476	10.05437	 9.19032	10.20638	 1.76813	 2.88266	 0.00000	 1.00849	 0.08368	 0.79903	 0.00000	 0.00257	-1353.691254	-2863464.084148	156081.576391
9080	 9.59423	10.05582	 9.19463	 9.31865	 9.82965	 1.71427	 2.79659	 0.00000	 1.04714	 0.04877	 0.82965	 0.00000	 0.00609	-1353.580668	-2863587.976671	156426.640417
9090	 9.76963	10.83281	 9.63073	 9.42422	 9.74780	 1.73859	 2.84609	 0.00000	 1.03753	 0.06241	 0.76804	 0.00000	 0.00380	-1353.640846	-2863437.226741	156155.534015
9100	10.16255	 9.82741	 9.76586	10.03893	10.21096	 1.71303	 2.83769	 0.00000	 1.04553	 0.09873	 0.77396	 0.00000	 0.00234	-1353.739015	-2863479.150892	156001.121331
9110	 9.27197	 9.10864	 9.93109	 9.76545	10.50922	 1.67515	 2.80560	 0.00000	 1.05749	 0.08940	 0.88177	 0.00000	 0.00351	-1353.362087	-2863286.140361	156561.966977
9120	 9.52157	 9.37595	 9.65794	 9.24680	10.53125	 1.75068	 2.88258	 0.00000	 1.02021	 0.07913	 0.85068	 0.00000	 0.00708	-1353.388853	-2863348.594083	156570.888624
9130	 9.64770	 9.37408	 9.22264	 9.42432	10.07366	 1.68478	 2.79394	 0.00000	 0.95625	 0.08980	 0.87767	 0.00000	 0.00480	-1353.245929	-2863401.559146	156909.701208
9140	10.03907	 9.63717	 9.66487	 9.39457	10.10543	 1.72744	 2.90052	 0.00000	 0.92606	 0.08964	 0.84996	 0.00000	 0.00538	-1353.429535	-2863461.168347	156602.098745
9150	11.16423	 9.77005	 9.50340	 8.94499	 9.93811	 1.72615	 2.88483	 0.00000	 0.97165	 0.08550	 0.85060	 0.00000	 0.01166	-1353.319694	-2863417.835554	156778.447237
9160	 9.89028	10.20099	 9.16137	 9.71348	 9.93549	 1.69520	 2.87977	 0.00000	 0.97336	 0.07537	 0.85209	 0.00000	 0.00678	-1353.703072	-2863540.762570	156134.618429
9170	 9.12179	 9.47549	 9.52109	 9.89249	 9.86801	 1.70867	 2.87411	 0.00000	 0.98002	 0.10755	 0.85792	 0.00000	 0.00292	-1353.309054	-2863418.882265	156800.774080
9180	 9.72154	10.06658	 9.70485	 9.59453	 9.91403	 1.72771	 2.92958	 0.00000	 0.96146	 0.10530	 0.84168	 0.00000	 0.00201	-1353.452566	-2863254.976316	156349.843791
9190	 9.42515	10.25192	 9.42461	 9.50473	10.24278	 1.70418	 2.89803	 0.00000	 0.97869	 0.10573	 0.85676	 0.00000	 0.00205	-1353.550500	-2863365.609844	156264.609988
9200	 9.67883	 9.72094	 9.99081	10.00173	10.00923	 1.68797	 2.87047	 0.00000	 0.98809	 0.10166	 0.83461	 0.00000	 0.00458	-1353.546774	-2863507.644041	156414.096676
9210	 8.94908	 9.45854	 9.24356	 9.60657	 9.95493	 1.63803	 2.77828	 0.00000	 1.01973	 0.10757	 0.86134	 0.00000	 0.00602	-1353.385989	-2863403.263436	156631.284709
9220	 9.14359	 9.18684	 9.21561	 9.57752	10.20422	 1.61870	 2.78920	 0.00000	 1.02283	 0.10790	 0.86395	 0.00000	 0.00314	-1353.541363	-2863485.276572	156402.550917
9230	 9.55281	 9.47079	 9.25841	 9.45181	10.20174	 1.56880	 2.73166	 0.00000	 1.02036	 0.08688	 0.88675	 0.00000	 0.00361	-1353.565014	-2863327.644881	156197.617431
9240	 9.24632	 9.73048	 9.40216	 9.22288	10.37687	 1.58488	 2.77758	 0.00000	 1.00349	 0.10955	 0.82116	 0.00000	 0.00168	-1353.781096	-2863423.198600	155861.006081
9250	 9.05834	 9.69450	 9.32194	 9.67964	10.40015	 1.60914	 2.79064	 0.00000	 0.99320	 0.11284	 0.81274	 0.00000	 0.00114	-1353.737939	-2863381.587014	155905.709276
9260	10.00173	 9.69717	 9.02943	 9.27230	 9.91159	 1.60189	 2.73985	 0.00000	 0.96986	 0.06721	 0.82176	 0.00000	 0.00360	-1353.562213	-2863368.046986	156243.620128
9270	10.01631	 9.83494	 8.73818	 8.85368	10.03393	 1.60883	 2.75858	 0.00000	 0.95803	 0.08306	 0.81174	 0.00000	 0.00379	-1353.663773	-2863577.773113	156250.227545
9280	10.18397	 9.74609	 9.23750	 9.27639	10.47608	 1.61329	 2.84809	 0.00000	 0.99244	 0.12909	 0.81352	 0.00000	 0.00284	-1353.613476	-2863393.372292	156166.420726
9290	10.32088	 9.49884	 9.13229	 9.47843	10.09103	 1.60586	 2.87522	 0.00000	 0.98308	 0.11777	 0.80585	 0.00000	 0.00280	-1353.817864	-2863432.352924	155796.624414
9300	10.92062	10.08603	 9.51330	 9.55003	10.33841	 1.59860	 2.88555	 0.00000	 0.98266	 0.11772	 0.69909	 0.00000	 0.00664	-1354.240061	-2863497.950315	155017.827658
9310	10.67994	10.27375	 8.96786	 8.87732	 9.85174	 1.60879	 2.85720	 0.00000	 0.98494	 0.11671	 0.76640	 0.00000	 0.01047	-1353.935632	-2863587.098053	155715.834660
