Sample	theta_A	theta_B	theta_root	tau_root	tau_A	tau_B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
371	 0.32528	 1.10800	 5.78928	 0.00000	 0.00000	 0.00000	-1208.673696874	-14272.778113275	2186.041144530
372	 0.33674	 1.05378	 6.06272	 0.00000	 0.00000	 0.00000	-1206.909368512	-14276.428577446	2207.334892327
373	 0.35398	 1.02074	 6.04926	 0.00000	 0.00000	 0.00000	-1207.032250730	-14271.113505165	2200.790997867
374	 0.34274	 1.08432	 6.07800	 0.00000	 0.00000	 0.00000	-1210.035648702	-14279.378634449	2179.022147430
375	 0.35432	 1.06125	 6.05835	 0.00000	 0.00000	 0.00000	-1212.110456681	-14282.939618479	2161.835051670
376	 0.37170	 1.02466	 6.36341	 0.00000	 0.00000	 0.00000	-1210.353561859	-14273.973541237	2170.437922643
377	 0.38782	 0.99140	 6.07110	 0.00000	 0.00000	 0.00000	-1209.376712554	-14271.099810343	2177.332684801
378	 0.40391	 0.95617	 6.09140	 0.00000	 0.00000	 0.00000	-1209.818702172	-14268.283304541	2170.096282825
379	 0.42013	 0.93310	 6.11867	 0.00000	 0.00000	 0.00000	-1209.705991597	-14268.336850490	2171.276934523
380	 0.43931	 0.95084	 6.37379	 0.00000	 0.00000	 0.00000	-1208.403932230	-14265.176351091	2181.137028790
381	 0.42313	 0.89163	 6.61324	 0.00000	 0.00000	 0.00000	-1211.500068266	-14272.006460041	2157.005777382
382	 0.43547	 0.87397	 6.64111	 0.00000	 0.00000	 0.00000	-1209.791180953	-14267.844024763	2169.932215236
383	 0.46197	 0.82733	 6.61412	 0.00000	 0.00000	 0.00000	-1209.766232144	-14268.001940713	2170.339619276
384	 0.45813	 0.86171	 6.31377	 0.00000	 0.00000	 0.00000	-1210.001926539	-14267.025910429	2167.006645034
385	 0.43947	 0.88580	 6.64584	 0.00000	 0.00000	 0.00000	-1210.892287498	-14268.319135104	2159.396260120
386	 0.42462	 0.88434	 6.44107	 0.00000	 0.00000	 0.00000	-1208.684274535	-14266.268103981	2179.425358632
387	 0.40433	 0.83924	 6.67590	 0.00000	 0.00000	 0.00000	-1210.554876732	-14263.051122797	2157.502355481
388	 0.39501	 0.86398	 6.65633	 0.00000	 0.00000	 0.00000	-1212.336943559	-14269.658598871	2146.289163278
