,ref_gene_likelihood,hyp_gene_likelihood,hm_data_likelihood,rbf_ratio
50292,5551.082131783944,5564.2704832309655,140071.48768768305,-13.188351447021887
50294,5547.635296990209,5555.924037638267,140041.28507201417,-8.288740648057683
50296,5569.728944125531,5581.695207592127,140045.92804438935,-11.966263466596502
50298,5550.636112947975,5562.569875593996,140059.42225131617,-11.933762646021023
50300,5487.950897229015,5494.354681869762,140067.36921349072,-6.40378464074729
50302,5481.182405622379,5490.549000278261,140071.2899125723,-9.366594655882182
50304,5517.236360474875,5525.6381216203445,140040.13084620205,-8.401761145469209
50306,5478.770702832412,5489.8883939738735,140050.19951638597,-11.117691141461364
50308,5485.232250412734,5493.604350282055,140055.36113542208,-8.372099869320664
50310,5448.296243782247,5452.407420124364,140079.12567180433,-4.111176342116778
50312,5512.753116118511,5520.37972063417,140067.58194215974,-7.626604515658983
50314,5451.219586269226,5462.307071809218,140064.72528677987,-11.087485539991576
50316,5525.020908187686,5542.99935347319,140066.20891605096,-17.978445285504677
50318,5484.799184663819,5499.947731071385,140079.79549992012,-15.148546407565846
50320,5509.367524299927,5521.21795575245,140067.98423140869,-11.850431452522571
50322,5420.08215620388,5427.824901427084,140066.64640131855,-7.7427452232041105
50324,5451.849190747923,5457.870695573015,140061.24569467278,-6.021504825092052
50326,5467.013801398212,5472.05132452812,140066.72236124714,-5.03752312990764
50328,5436.445442270798,5439.475134966604,140068.93215899027,-3.0296926958062613
50330,5428.820888717913,5433.0503145834955,140056.11388000022,-4.229425865582925
50332,5407.218885377113,5410.681773965537,140062.73202721775,-3.4628885884239935
50334,5417.583820911606,5427.4322568690095,140065.48307816507,-9.848435957403126
50336,5538.00327693595,5545.858695774309,140061.12513647374,-7.855418838358673
50338,5477.869359446777,5493.474728182396,140058.44718808864,-15.605368735618868
50340,5429.397943839197,5441.024548147776,140101.24969584245,-11.626604308578862
50342,5442.172506764636,5448.124515796108,140071.75348898355,-5.9520090314726986
50344,5431.040398887664,5438.482034143642,140086.40099904095,-7.441635255977417
50346,5463.988633726505,5465.477349667225,140058.258983619,-1.4887159407198851
50348,5511.3322941664865,5512.816321273799,140069.0013482285,-1.4840271073126132
50350,5396.674389576102,5396.637638840532,140075.46772344987,0.03675073556951247
50352,5431.047545130161,5435.633912250367,140070.08121035827,-4.586367120205978
50354,5418.69654881501,5429.041740566959,140073.93029139534,-10.345191751948732
50356,5442.94593247868,5454.194489532556,140074.65341750975,-11.24855705387563
50358,5365.116612911848,5377.08691840409,140070.24363595078,-11.970305492242005
50360,5365.258560556195,5381.300192224821,140071.06159966852,-16.041631668625996
50362,5358.960008308683,5374.523707067185,140072.7841421588,-15.563698758501232
50364,5424.653904482184,5431.599668207255,140064.65309739756,-6.945763725070719
50366,5395.453198543527,5401.140022894309,140040.2126584045,-5.6868243507824445
50368,5450.530472607836,5453.439353696304,140073.17715776878,-2.908881088468661
50370,5455.203993055345,5457.547528109426,140085.77229938618,-2.343535054081258
50372,5448.462521590497,5448.510316408357,140071.58731030158,-0.04779481785953976
50374,5385.798974739158,5387.234994721219,140078.98557136484,-1.4360199820603157
50376,5429.504235834436,5430.940426467568,140067.35723758282,-1.4361906331314458
50378,5422.397488870354,5425.17737328165,140069.22167561372,-2.779884411295825
50380,5423.053722353425,5428.558177976751,140063.1412822589,-5.504455623326066
50382,5406.632495758867,5415.661993270185,140067.41994967998,-9.029497511318368
50384,5454.029079444794,5458.07994755526,140057.61386990102,-4.050868110466581
50386,5465.410315266505,5474.336058358371,140059.6279267085,-8.925743091866025
50388,5496.839491832822,5500.5134471067,140071.04691033813,-3.673955273878164
50390,5464.196296771293,5474.827324409619,140059.19402531392,-10.631027638325577
50392,5486.9300337815475,5503.00126597882,140068.14798871317,-16.071232197272366
50394,5552.05221073889,5574.318675013462,140061.608464086,-22.266464274572172
50396,5457.749375417723,5472.674210515045,140076.430452302,-14.924835097322102
50398,5455.807127984213,5466.090717459418,140060.4721390262,-10.28358947520428
50400,5416.842903549847,5421.716138361952,140053.9510655773,-4.873234812105693
50402,5476.398004354489,5478.819240165438,140058.3700094894,-2.4212358109489287
50404,5471.1361406694305,5470.694656917826,140075.97244022638,0.44148375160420983
50406,5527.096354921443,5530.099523648125,140069.84616450223,-3.0031687266819063
50408,5366.969432192083,5370.018304978263,140091.40987728199,-3.048872786179345
