Sample	theta_A	theta_B	theta_root	tau_root	tau_A	tau_B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
103	 6.02468	 8.67005	 1.07463	10634.56140	 0.00000	 0.00000	-17974.914669	-160969.347985	-18779.798710
104	 6.02468	 8.67005	 1.11694	10634.55059	 0.00000	 0.00000	-17970.685189	-160569.272141	-19137.579752
105	 6.36489	 9.14584	 1.14543	10595.78864	 0.00000	 0.00000	-17852.758483	-160355.165904	-18172.418926
106	 6.34427	 9.35290	 1.19461	10561.46155	 0.00000	 0.00000	-17832.404052	-160056.885063	-18267.155459
107	 6.64736	 9.81477	 1.15484	10561.44756	 0.00000	 0.00000	-17726.635120	-159693.639813	-17572.711385
108	 6.81917	 9.78777	 1.11411	10532.39158	 0.00000	 0.00000	-17698.339519	-159169.427039	-17813.968151
109	 6.97704	10.01619	 1.06381	10506.75498	 0.00000	 0.00000	-17648.868006	-158812.088130	-17676.591930
110	 6.96012	10.10469	 0.98862	10481.27838	 0.00000	 0.00000	-17637.658403	-158493.483599	-17883.100429
111	 7.15279	10.10469	 0.93720	10481.28331	 0.00000	 0.00000	-17609.427273	-158194.746112	-17899.526613
112	 7.15279	10.76750	 0.98707	10481.26635	 0.00000	 0.00000	-17542.247481	-157799.104026	-17623.370780
113	 7.15279	10.76750	 1.04321	10481.25380	 0.00000	 0.00000	-17540.838212	-157444.896340	-17963.485784
114	 7.28878	10.72336	 1.08746	10438.29514	 0.00000	 0.00000	-17511.005634	-157034.826528	-18075.229817
115	 7.28878	11.17997	 1.10798	10438.30768	 0.00000	 0.00000	-17468.477298	-156858.411929	-17826.361046
116	 7.28878	11.17997	 1.08273	10438.31599	 0.00000	 0.00000	-17464.697469	-156620.520391	-18026.454294
117	 7.51077	11.14650	 1.11593	10407.05428	 0.00000	 0.00000	-17432.373578	-156396.398649	-17927.337131
118	 7.80361	11.10268	 1.05081	10366.15087	 0.00000	 0.00000	-17388.884156	-156021.880230	-17866.961333
119	 8.14635	11.10268	 1.08744	10366.16194	 0.00000	 0.00000	-17333.992788	-155645.179406	-17694.748471
120	 8.54188	11.10268	 1.12148	10366.17182	 0.00000	 0.00000	-17284.486461	-155451.247491	-17393.617121
121	 8.54188	11.56955	 1.05561	10366.16207	 0.00000	 0.00000	-17238.219420	-155064.510940	-17317.683258
122	 8.71085	11.54100	 1.02041	10340.56371	 0.00000	 0.00000	-17216.648459	-154694.929931	-17471.554662
123	 9.12187	11.93130	 0.98271	10317.57418	 0.00000	 0.00000	-17134.240110	-154151.293778	-17191.107320
124	 9.10111	12.21683	 0.93855	10294.08359	 0.00000	 0.00000	-17105.384016	-153819.967816	-17233.872345
125	 9.31151	12.21683	 0.90128	10294.09496	 0.00000	 0.00000	-17080.912612	-153434.269932	-17374.856188
126	 9.28375	12.18041	 0.86458	10263.40208	 0.00000	 0.00000	-17085.546773	-153251.947528	-17603.520197
127	 9.29300	12.70193	 0.84170	10273.63588	 0.00000	 0.00000	-17043.213710	-153056.129656	-17376.007440
128	 9.61359	13.01470	 0.81851	10240.40737	 0.00000	 0.00000	-16977.895648	-152714.333088	-17064.623388
129	 9.93566	12.97104	 0.79760	10206.05184	 0.00000	 0.00000	-16947.126337	-152554.525610	-16916.737755
130	 9.93044	12.96423	 0.79718	10200.67968	 0.00000	 0.00000	-16942.745690	-152229.923121	-17197.533779
131	10.45426	13.46693	 0.84482	10178.07503	 0.00000	 0.00000	-16856.231719	-152041.771140	-16520.546051
132	10.45426	14.10635	 0.81744	10178.06554	 0.00000	 0.00000	-16806.684326	-151611.987240	-16454.856016
133	10.42700	14.38622	 0.84866	10151.53810	 0.00000	 0.00000	-16785.811720	-151116.606984	-16741.510219
134	10.62379	14.82438	 0.87797	10112.57776	 0.00000	 0.00000	-16721.790974	-150614.832812	-16603.076932
135	11.10287	14.77080	 0.88247	10076.03569	 0.00000	 0.00000	-16681.362025	-150357.705484	-16455.914766
136	11.65564	14.77080	 0.85436	10076.04256	 0.00000	 0.00000	-16624.760632	-149735.095958	-16512.510366
137	11.65564	14.77080	 0.83019	10076.04773	 0.00000	 0.00000	-16622.038399	-149378.165686	-16842.218306
138	11.65564	15.85949	 0.85943	10076.03682	 0.00000	 0.00000	-16547.502017	-148835.619504	-16639.400670
139	11.65564	16.23794	 0.82788	10076.03030	 0.00000	 0.00000	-16521.966902	-148659.515824	-16560.153191
140	11.65564	16.80737	 0.85906	10076.03939	 0.00000	 0.00000	-16487.150584	-148350.484560	-16521.021277
141	11.61991	17.05155	 0.91190	10045.14802	 0.00000	 0.00000	-16471.010771	-148314.873647	-16395.234058
142	11.56515	17.59525	 0.94973	9997.80408	 0.00000	 0.00000	-16442.588568	-147974.387861	-16451.497818
143	11.54969	17.87841	 0.91593	9984.44838	 0.00000	 0.00000	-16427.046610	-147850.556813	-16419.909285
144	12.23307	18.65896	 0.88371	9984.44324	 0.00000	 0.00000	-16332.844196	-147607.171308	-15721.270652
145	12.19521	19.71301	 0.90861	9953.52065	 0.00000	 0.00000	-16286.026946	-147236.133181	-15624.136281
146	12.19521	20.82528	 0.97305	9953.52836	 0.00000	 0.00000	-16240.634783	-146914.243621	-15492.104206
147	12.17846	20.79669	 0.99152	9939.87720	 0.00000	 0.00000	-16237.531724	-146676.272944	-15699.044300
148	12.13813	20.72782	 0.93632	9906.96872	 0.00000	 0.00000	-16239.999578	-146403.840317	-15996.155465
149	12.59764	21.54492	 0.89813	9906.96358	 0.00000	 0.00000	-16168.875928	-146141.083219	-15547.676062
150	12.59764	21.54492	 0.91945	9906.97555	 0.00000	 0.00000	-16165.270269	-145812.267140	-15840.435551
151	12.55680	21.47508	 0.94084	9874.84609	 0.00000	 0.00000	-16161.243779	-145685.566589	-15926.871196
152	12.89725	22.14622	 0.97012	9874.83746	 0.00000	 0.00000	-16108.138818	-145375.023532	-15706.364653
153	12.86590	22.81854	 0.98485	9850.84169	 0.00000	 0.00000	-16082.920244	-145259.116070	-15570.086368
154	12.86590	22.81854	 0.95860	9850.85205	 0.00000	 0.00000	-16083.147578	-145088.991965	-15742.483819
155	13.40607	22.81854	 1.00299	9850.84301	 0.00000	 0.00000	-16039.886774	-144984.580346	-15414.287392
156	13.38717	24.05049	 1.04263	9836.97241	 0.00000	 0.00000	-15995.202198	-144746.447606	-15205.574374
157	13.33506	23.95686	 1.09027	9798.66389	 0.00000	 0.00000	-15997.890004	-144511.936578	-15466.963464
158	13.33506	23.95686	 1.05329	9798.67390	 0.00000	 0.00000	-15993.322296	-144147.542057	-15785.680901
159	13.33506	25.09313	 1.02223	9798.68498	 0.00000	 0.00000	-15953.217713	-143953.559816	-15578.617318
160	13.29004	26.32958	 1.07132	9765.61317	 0.00000	 0.00000	-15916.047552	-143813.934897	-15346.540621
161	13.88133	27.37608	 1.11664	9765.61721	 0.00000	 0.00000	-15843.280687	-143669.518300	-14763.288571
162	13.84171	28.16082	 1.15356	9737.73291	 0.00000	 0.00000	-15822.194980	-143402.903504	-14819.046292
