Sample	theta_A	theta_B	theta_root	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
2533	 0.38009	 2.88633	10.20095	 0.00000	-1330.855902839	-14277.553238057	968.994209667
2534	 0.36359	 2.99066	10.61381	 0.00000	-1328.708659382	-14257.204292928	970.117699106
2535	 0.38557	 2.93139	10.30887	 0.00000	-1327.502384613	-14256.631271973	981.607425848
2536	 0.36317	 2.82710	 9.89789	 0.00000	-1327.831026549	-14261.640461550	983.330196060
2537	 0.37714	 2.87641	10.35897	 0.00000	-1328.401278855	-14261.425112777	977.412324223
2538	 0.35518	 2.70982	10.78522	 0.00000	-1327.174044608	-14257.296423081	985.555977002
2539	 0.35347	 2.62171	10.34626	 0.00000	-1326.428779323	-14264.435943133	1000.148149899
2540	 0.35615	 2.53831	10.31373	 0.00000	-1328.518217511	-14251.855832977	966.673657863
2541	 0.34531	 2.61536	10.28274	 0.00000	-1329.446436126	-14265.665796450	971.201435188
2542	 0.35819	 2.70229	10.95270	 0.00000	-1327.287511081	-14261.925957764	989.050846953
2543	 0.33755	 2.78789	11.40838	 0.00000	-1328.602703379	-14268.411956600	982.384922809
2544	 0.32912	 2.88081	10.96858	 0.00000	-1327.792347847	-14262.936626633	985.013148168
2545	 0.32520	 2.97368	10.62508	 0.00000	-1326.572593010	-14261.565831172	995.839901069
2546	 0.33532	 2.89056	10.75391	 0.00000	-1328.298096980	-14257.036352939	974.055383142
2547	 0.32359	 2.78975	10.79752	 0.00000	-1327.947935727	-14254.901348275	975.421991003
2548	 0.31190	 2.96591	10.55929	 0.00000	-1327.603337283	-14256.358730265	980.325357436
2549	 0.32507	 3.04229	10.24379	 0.00000	-1329.480942489	-14264.422379593	969.612954707
2550	 0.31818	 2.91251	 9.52157	 0.00000	-1330.048139803	-14265.203070579	964.721672549
2551	 0.32492	 2.78379	 9.55710	 0.00000	-1328.639368481	-14271.106896593	984.713211786
2552	 0.33725	 2.62282	10.04623	 0.00000	-1327.737705143	-14263.519184905	986.142133476
2553	 0.35402	 2.54609	 9.73443	 0.00000	-1327.977250043	-14265.667709022	985.895208594
2554	 0.36024	 2.65994	 9.70293	 0.00000	-1327.668832942	-14262.456730261	985.768400837
2555	 0.35598	 2.66736	 9.73001	 0.00000	-1328.688046590	-14265.691110544	978.810644648
2556	 0.36774	 2.55761	10.02855	 0.00000	-1329.458438362	-14266.328158785	971.743775167
2557	 0.35457	 2.49859	10.38679	 0.00000	-1326.239617241	-14261.558510452	999.162338045
2558	 0.35911	 2.38480	10.52437	 0.00000	-1329.217272463	-14269.472368715	977.299644089
2559	 0.34789	 2.30764	 9.96873	 0.00000	-1329.011318964	-14260.181749301	970.068559659
2560	 0.32556	 2.42384	 9.60413	 0.00000	-1328.354828346	-14260.667956716	977.119673261
2561	 0.30922	 2.47423	 9.58189	 0.00000	-1328.369734081	-14260.732753074	977.035412259
2562	 0.29909	 2.38634	 9.79548	 0.00000	-1326.327539600	-14256.255830857	992.980434858
2563	 0.29073	 2.44733	10.17087	 0.00000	-1329.117901452	-14265.307335011	974.128320493
2564	 0.27794	 2.37351	10.36888	 0.00000	-1328.130789384	-14263.700368659	982.392474818
2565	 0.26697	 2.49759	 9.95494	 0.00000	-1328.961753117	-14266.685544642	977.068013474
2566	 0.27944	 2.39483	10.52545	 0.00000	-1328.181937749	-14263.207253374	981.387875884
2567	 0.29204	 2.46201	10.12777	 0.00000	-1328.499963877	-14268.269355350	983.269716582
2568	 0.27766	 2.55693	 9.84261	 0.00000	-1326.714312803	-14262.383545298	995.240417267
2569	 0.28877	 2.54758	 9.35015	 0.00000	-1328.575633027	-14273.816582590	988.060252318
2570	 0.27456	 2.64141	 8.96319	 0.00000	-1329.553106160	-14277.019896379	981.488834777
2571	 0.28277	 2.71089	 9.32071	 0.00000	-1326.029909757	-14273.070203170	1012.771105604
2572	 0.27329	 2.63443	 9.10698	 0.00000	-1328.311417147	-14274.824146642	991.709975169
2573	 0.26533	 2.59526	 9.40613	 0.00000	-1328.080692314	-14274.640020005	993.833096860
2574	 0.25674	 2.60711	 9.63629	 0.00000	-1324.471344202	-14263.439165646	1018.725723628
