Sample	theta_A	theta_B	theta_C	theta_AB	theta_root	tau_AB	tau_root	m_C->A	Complete-ld-ln-avg	Data-ld-ln	Gene-ld-ln
1938	 7.74803	 8.52195	10.68614	13.04258	 9.53880	 1.09965	 3.32090	519.20173	-1348.106116	-2864474.087857	168261.855584
1939	 7.76576	 8.66315	10.38592	13.07242	 9.56063	 1.10217	 3.32850	518.01664	-1348.275559	-2864378.079543	167826.962178
1940	 8.23750	 8.98424	10.38592	13.07242	 9.56063	 1.10217	 3.29882	528.48887	-1348.055312	-2864433.836435	168323.212676
1941	 8.22660	 8.97235	10.37218	13.29577	 9.54797	 1.10071	 3.29446	536.48112	-1348.122141	-2864490.508706	168246.226618
1942	 8.47534	 8.95208	10.09631	12.69932	 9.52640	 1.09822	 3.26184	547.45814	-1347.856027	-2864518.225289	168806.171174
1943	 8.18456	 8.98459	10.13297	12.47433	 9.56099	 1.10221	 3.27369	545.47747	-1347.984702	-2864534.775174	168565.370756
1944	 8.02391	 8.98459	10.13297	11.92991	 9.56099	 1.10221	 3.24023	543.39844	-1347.848136	-2864511.522944	168815.251130
1945	 8.03388	 9.12140	10.14556	11.94473	 9.16236	 1.10358	 3.24425	535.66509	-1347.636478	-2864433.839997	169160.884648
1946	 7.58646	 9.10813	10.13081	11.72848	 9.21049	 1.10198	 3.20059	521.43535	-1347.810163	-2864606.633224	168986.307211
1947	 8.04721	 9.10813	10.13081	12.03632	 9.21049	 1.10198	 3.20059	533.88626	-1347.776631	-2864548.462085	168995.199487
1948	 8.02659	 8.78606	10.10484	12.00546	 9.18688	 1.09915	 3.20931	521.65423	-1348.081804	-2864534.377378	168370.769979
1949	 7.67825	 8.79751	10.11800	12.02110	 9.19885	 1.10058	 3.21349	511.94980	-1348.049620	-2864567.896226	168468.655876
1950	 7.67825	 9.04380	10.11800	12.02110	 9.45842	 1.10058	 3.23861	518.08260	-1348.171151	-2864495.970903	168153.669172
1951	 7.70044	 9.06993	10.26505	12.05584	 9.27406	 1.10376	 3.23013	519.29602	-1347.642490	-2864419.092145	169134.111231
1952	 7.99226	 9.09402	10.29231	12.08786	 9.53576	 1.10670	 3.23870	517.92056	-1347.937048	-2864418.071303	168543.974815
1953	 8.01770	 9.12296	10.32507	12.12633	 9.27672	 1.11022	 3.24901	526.68216	-1347.997419	-2864334.430041	168339.591630
1954	 8.17642	 8.98532	10.34836	12.69099	 9.29764	 1.11272	 3.25634	525.49698	-1348.064688	-2864421.263559	168291.887361
1955	 8.16386	 8.97152	10.33247	12.67150	 9.68475	 1.11101	 3.27557	526.30516	-1348.010302	-2864410.661025	168390.057101
1956	 8.16386	 8.97152	10.11655	12.67150	 9.68475	 1.11101	 3.27557	516.67350	-1348.135082	-2864458.111241	168187.947792
1957	 8.13555	 9.16034	10.50325	12.94605	 9.65117	 1.10716	 3.26421	508.61033	-1348.098633	-2864466.759449	168269.492828
1958	 8.12251	 9.42840	10.48642	12.92531	 9.63570	 1.10539	 3.28034	526.09804	-1348.509368	-2864514.323335	167495.588145
1959	 8.00971	 9.48119	10.54514	13.18288	 9.68965	 1.11158	 3.27152	517.68128	-1348.406389	-2864399.837124	167587.058260
1960	 7.99481	 9.46355	10.75847	13.15837	 9.67163	 1.10951	 3.28003	518.64579	-1348.781118	-2864360.071964	166797.836888
1961	 7.99481	 9.40804	10.75847	13.15837	 9.67163	 1.10951	 3.26294	508.54446	-1348.580574	-2864439.484231	167278.336233
1962	 8.01719	 8.96409	10.78858	13.19520	 9.69870	 1.11261	 3.27207	499.26869	-1348.740842	-2864426.833925	166945.150625
1963	 8.38060	 9.34066	10.81173	13.52587	 9.71951	 1.11500	 3.25799	491.30148	-1348.847199	-2864496.645369	166802.247395
1964	 8.17592	 9.34364	10.81518	13.53020	 9.72262	 1.11536	 3.25903	491.14448	-1348.904266	-2864479.525391	166670.992830
1965	 8.19855	 9.13417	10.84512	13.56765	 9.74953	 1.11845	 3.26805	501.58819	-1348.898105	-2864509.638525	166713.427617
1966	 8.17818	 9.11147	10.81817	13.53393	 9.72530	 1.11567	 3.25993	506.36906	-1348.654692	-2864557.109355	167247.726273
1967	 7.82709	 9.08470	10.78638	13.07499	 9.69672	 1.11239	 3.25035	521.01584	-1348.660827	-2864582.627489	167260.973992
1968	 8.00100	 9.05136	10.74680	13.02701	 9.66114	 1.10831	 3.19967	515.68999	-1348.498662	-2864513.331595	167516.007555
1969	 7.97206	 8.68569	10.70793	13.44840	 9.62620	 1.10430	 3.22321	507.57130	-1348.817510	-2864632.945517	166997.925237
1970	 7.71713	 8.92262	10.68866	13.42420	 9.30114	 1.10231	 3.20791	508.48633	-1348.494284	-2864578.542937	167589.975910
1971	 7.71713	 8.92262	10.68866	13.42420	 9.30114	 1.10231	 3.20791	517.30225	-1348.361444	-2864492.068849	167769.180528
1972	 7.71713	 9.03533	10.68866	13.42420	 9.30114	 1.10231	 3.20791	527.27326	-1348.319709	-2864527.757842	167888.339657
1973	 8.05577	 9.02339	10.67454	13.40647	 9.64966	 1.10085	 3.20368	522.79769	-1348.379131	-2864533.941472	167775.679289
1974	 8.04378	 9.00996	10.76380	13.63202	 9.63530	 1.09922	 3.19891	515.19290	-1348.441956	-2864475.624572	167591.713277
1975	 8.45775	 9.18388	10.35141	13.10905	 9.65977	 1.10201	 3.20703	523.22522	-1348.581675	-2864376.706548	167213.356773
1976	 8.14581	 9.18388	10.21866	12.50250	 9.65977	 1.10201	 3.20703	512.65306	-1348.532414	-2864434.981602	167370.153888
1977	 8.18784	 9.16064	10.19281	12.47088	 9.63533	 1.09922	 3.17091	513.95322	-1348.495619	-2864499.811563	167508.573723
1978	 8.51840	 9.20218	10.23903	12.82680	 9.67903	 1.10420	 3.16647	498.37180	-1348.528262	-2864374.652631	167318.128374
1979	 8.48883	 9.39343	10.20348	12.78227	 9.64542	 1.10037	 3.15547	500.10808	-1348.477930	-2864486.484291	167530.624950
1980	 8.51425	 9.17844	10.23403	12.82054	 9.67430	 1.10367	 3.16492	505.25321	-1348.320191	-2864519.311507	167878.929195
1981	 8.12744	 8.86482	10.26191	12.85547	 9.70066	 1.10667	 3.17354	501.81667	-1348.238304	-2864482.459875	168005.851889
1982	 8.26992	 8.89967	10.30224	12.90599	 9.73878	 1.11102	 3.18601	499.85211	-1348.466965	-2864495.493528	167561.563455
1983	 8.62737	 8.91953	 9.92423	12.56999	 9.76052	 1.11350	 3.19313	491.54828	-1348.663485	-2864461.071085	167134.100244
1984	 8.62737	 8.91953	 9.92423	12.56999	 9.76052	 1.11350	 3.16819	503.33798	-1348.413524	-2864394.981990	167567.933265
1985	 8.44715	 9.25458	 9.96402	12.62038	 9.79965	 1.11797	 3.20231	501.32822	-1348.578897	-2864487.475778	167329.681934
1986	 8.46932	 9.27888	 9.99017	12.65351	 9.82538	 1.12090	 3.21071	500.01568	-1348.492859	-2864398.544808	167412.827603
1987	 8.06442	 9.31121	 9.88215	12.69760	 9.51889	 1.12481	 3.18654	492.96295	-1348.397723	-2864381.443057	167585.997490
1988	 8.06442	 8.91962	 9.88215	12.69760	 9.51889	 1.12481	 3.18654	498.71782	-1348.521812	-2864515.251799	167471.628319
1989	 8.06442	 8.91962	 9.88215	12.69760	 9.51889	 1.12481	 3.21633	493.32088	-1348.607914	-2864513.847243	167298.019878
1990	 8.09328	 8.81097	10.29527	13.01745	 9.55296	 1.12883	 3.22784	500.17676	-1348.633682	-2864418.875100	167151.510577
1991	 8.05874	 8.77337	10.25133	12.96190	 9.51219	 1.12401	 3.22463	502.32042	-1348.611466	-2864508.139245	167285.206639
1992	 7.81317	 9.35273	10.21370	12.98665	 9.53035	 1.12616	 3.23079	501.36293	-1348.702383	-2864479.804197	167075.038676
1993	 7.82886	 9.07766	10.23420	13.01273	 9.54949	 1.12842	 3.23728	500.35824	-1348.893348	-2864451.639102	166664.942409
1994	 7.82886	 8.96666	 9.86683	13.01273	 9.54949	 1.12842	 3.21811	491.29321	-1348.699046	-2864480.940843	167082.849072
1995	 7.91099	 9.31268	 9.86683	12.48199	 9.54949	 1.12842	 3.23067	481.72093	-1348.524077	-2864519.469760	167471.316214
1996	 8.24533	 8.99403	 9.86683	12.67916	 9.54949	 1.12842	 3.23067	492.80204	-1348.447777	-2864534.498204	167638.944023
1997	 8.55135	 8.79894	10.14321	12.67916	 9.54949	 1.12842	 3.18942	492.80204	-1348.220851	-2864576.263182	168134.561741
1998	 8.03796	 8.82844	10.17722	12.72168	 9.58151	 1.13221	 3.20012	491.15517	-1348.482774	-2864622.031950	167656.484787
1999	 8.04758	 9.02370	10.56190	12.73691	 9.59298	 1.13356	 3.20395	482.86339	-1348.439477	-2864537.271636	167658.316812
