Sample	theta_A	theta_B	theta_C	theta_AB	theta_root	tau_AB	tau_root	m_C->A	Complete-ld-ln-avg	Data-ld-ln	Gene-ld-ln
5213	 9.29111	10.68578	10.16518	 9.78161	 9.51760	 1.42667	 3.20640	415.81215	-1348.182958	-2864555.879680	168189.963038
5214	 9.29111	10.68578	10.16518	 9.61144	 9.20704	 1.42667	 3.19103	405.58170	-1348.316445	-2864621.597592	167988.706884
5215	 9.31074	10.70836	10.53215	 9.63175	 9.22650	 1.42968	 3.19777	398.12634	-1348.359145	-2864546.892229	167828.601629
5216	 9.33535	10.53921	10.55999	 9.65721	 9.25089	 1.43346	 3.20623	397.07671	-1348.328021	-2864580.310928	167924.268985
5217	 9.77053	10.55243	10.57324	 9.66932	 9.61552	 1.43526	 3.23154	404.35935	-1348.536678	-2864611.365107	167538.009146
5218	10.53540	10.58610	10.60697	 9.70017	 9.64619	 1.43984	 3.26360	403.07347	-1348.537867	-2864606.070017	167530.336774
5219	10.54821	10.59896	10.61986	 9.71196	 9.65792	 1.44159	 3.24635	395.64081	-1348.605034	-2864657.715204	167447.646900
5220	10.54821	10.21351	10.61986	 9.71196	 9.65792	 1.44159	 3.24635	387.28646	-1348.758885	-2864601.324777	167083.555688
5221	10.58623	10.00686	10.65814	 9.74697	 9.69273	 1.44678	 3.25805	394.54676	-1348.563790	-2864446.689740	167319.109208
5222	10.56290	 9.98480	10.63465	 9.72549	 9.67137	 1.44359	 3.25087	387.96884	-1348.817822	-2864472.841635	166837.197262
5223	10.53514	 9.95856	10.21762	 9.69993	 9.64596	 1.43980	 3.24233	396.95021	-1348.761160	-2864490.896351	166968.576742
5224	10.30380	 9.95856	10.21762	10.08023	 9.64596	 1.43980	 3.25529	401.14540	-1348.845355	-2864588.614095	166897.905071
5225	10.30380	10.32973	10.13852	10.16349	 9.64596	 1.43980	 3.25529	401.14540	-1348.423443	-2864626.013593	167779.126797
5226	10.71793	10.35175	10.46677	10.31404	 9.66651	 1.44287	 3.26223	405.77623	-1348.532120	-2864630.962466	167566.721622
5227	10.28444	10.67662	10.50345	10.35018	 9.70039	 1.44793	 3.27366	404.35932	-1348.346772	-2864647.695269	167954.151564
5228	10.31058	10.70376	10.89514	10.86685	 9.72505	 1.45161	 3.31195	410.92638	-1348.699069	-2864626.973415	167228.835530
5229	10.28743	11.15397	10.87068	10.84246	 9.70322	 1.44835	 3.28327	419.66605	-1348.590487	-2864608.588320	167427.614102
5230	 9.90136	10.59216	10.85398	10.82579	 9.68830	 1.44612	 3.27823	420.31210	-1348.257251	-2864680.441312	168165.939707
5231	 9.86328	10.55143	10.81224	10.78416	 9.65104	 1.44056	 3.26562	421.93472	-1348.300997	-2864654.691715	168052.697474
5232	 9.86328	10.89774	10.81224	10.91609	 9.65104	 1.44056	 3.26562	415.15440	-1348.164675	-2864628.325503	168298.976465
5233	 9.86328	10.89774	10.81224	10.91609	 9.65104	 1.44056	 3.24730	425.94518	-1348.275749	-2864635.222983	168083.723986
5234	 9.86328	10.89774	10.81224	10.91609	 9.65104	 1.44056	 3.24730	425.94518	-1348.068424	-2864523.862823	168387.014007
5235	10.14607	10.56066	10.81224	10.91609	 9.65104	 1.44056	 3.24730	410.32773	-1348.391190	-2864598.839356	167816.458877
5236	 9.70978	10.53187	10.78276	10.88633	 9.62473	 1.43663	 3.23844	418.66642	-1348.288431	-2864657.146042	168080.284363
5237	10.14299	11.00891	10.62513	10.92002	 9.65452	 1.44108	 3.24847	418.89000	-1348.283682	-2864656.738026	168089.373321
5238	 9.62853	10.47272	10.58073	10.44426	 9.61418	 1.43506	 3.21932	416.17368	-1348.311192	-2864586.263138	167963.880033
5239	 9.64408	10.48964	10.59782	10.46113	 9.62971	 1.43738	 3.22452	411.66285	-1348.398287	-2864649.025548	167852.451315
5240	 9.69294	10.89597	10.65151	10.51412	 9.67850	 1.44466	 3.24086	409.58796	-1348.554058	-2864593.743142	167485.626191
5241	10.16153	10.91916	10.67418	10.26237	 9.69909	 1.44773	 3.24775	418.65998	-1348.444272	-2864470.326851	167581.783060
5242	10.16153	10.40988	10.67418	10.26237	 9.69909	 1.44773	 3.26061	418.65998	-1348.845485	-2864564.711473	166873.740679
5243	10.62367	10.88883	10.65576	10.24466	 9.68236	 1.44523	 3.26740	419.38347	-1348.482357	-2864547.174772	167582.461446
5244	10.60158	10.86619	10.81289	10.06436	 9.66223	 1.44223	 3.26060	420.25729	-1348.246559	-2864502.183864	168009.066074
5245	10.31561	11.56151	10.78462	10.54111	 9.50071	 1.43846	 3.25208	421.35901	-1348.466638	-2864623.125018	167689.848258
5246	10.33980	11.58862	10.80991	10.56583	 9.52299	 1.44183	 3.25971	420.37309	-1348.523716	-2864592.895617	167545.462788
5247	10.38385	11.03123	10.85596	10.64752	 9.94878	 1.44797	 3.27359	408.48540	-1348.875599	-2864688.922890	166937.723942
5248	10.35123	10.59549	10.22121	10.61408	 9.91754	 1.44343	 3.23774	409.77238	-1348.485870	-2864594.327108	167622.587871
5249	 9.99026	10.86424	10.71955	10.60096	 9.90528	 1.44164	 3.25244	415.04469	-1348.452639	-2864589.325819	167684.048379
5250	 9.74092	10.48903	10.73427	10.61552	 9.91889	 1.44362	 3.25691	421.03358	-1348.646712	-2864636.563643	167343.138817
5251	 9.71652	10.46275	10.70738	10.58892	 9.89403	 1.44001	 3.24875	414.26531	-1348.786332	-2864682.018167	167109.354552
5252	 9.73922	10.48719	10.73239	10.61366	 9.91715	 1.44337	 3.25634	406.60695	-1348.755770	-2864691.676659	167180.136266
5253	 9.51811	10.57263	10.21012	10.62799	 9.93054	 1.44532	 3.22567	406.05870	-1348.718849	-2864510.842429	167073.143600
5254	 9.51811	10.87942	10.21012	10.62799	 9.93054	 1.44532	 3.22567	397.82157	-1348.790580	-2864584.410247	167003.249711
5255	 9.47975	10.58228	10.21177	10.58516	 9.89052	 1.43949	 3.22764	399.43114	-1348.536339	-2864570.498021	167497.820329
5256	 9.44372	10.54206	10.17295	10.54492	 9.85292	 1.43402	 3.19345	408.84353	-1348.378805	-2864480.942997	167723.332948
5257	 9.62053	10.74042	10.12991	10.50031	 9.81124	 1.42796	 3.16524	416.92020	-1348.379973	-2864573.886935	167813.940117
5258	 9.83876	10.71958	10.11026	10.47994	 9.79220	 1.42518	 3.15910	417.73075	-1348.516337	-2864537.541844	167504.867902
5259	10.17657	10.74710	10.13622	10.50685	 9.42902	 1.42884	 3.14408	416.66095	-1348.482836	-2864415.166404	167449.495268
5260	10.15639	10.72579	10.11612	10.44477	 9.41032	 1.42601	 3.13035	417.48875	-1348.361983	-2864567.067013	167843.102002
5261	10.11549	10.68260	10.07538	10.40271	 9.37242	 1.42027	 3.11775	419.17683	-1348.259732	-2864722.506705	168203.042001
5262	10.08343	10.64874	10.04345	10.36974	 9.34272	 1.41577	 3.13022	420.50957	-1348.304958	-2864687.238411	168077.321975
5263	10.06971	10.98604	10.02979	10.35563	 9.33001	 1.41384	 3.12596	421.08224	-1347.935624	-2864546.830169	168675.582816
5264	10.09545	10.64055	10.05543	10.38210	 9.35386	 1.41746	 3.13396	430.30122	-1347.747922	-2864586.273370	169090.429597
5265	10.11267	10.65870	10.07258	10.13197	 9.36982	 1.41987	 3.12094	423.82141	-1347.857854	-2864661.206853	168945.498189
5266	10.07992	11.09860	 9.62348	10.09915	 9.33947	 1.41527	 3.13361	415.13882	-1348.146147	-2864703.837235	168411.543544
5267	 9.93624	11.11809	 9.64038	10.11689	 9.35587	 1.41776	 3.13912	420.34550	-1347.822596	-2864656.304303	169011.112338
5268	 9.94871	11.49049	 9.65249	 9.82245	 9.36762	 1.41954	 3.11987	419.81830	-1348.077390	-2864635.878078	168481.097732
5269	 9.99190	11.54037	 9.69439	 9.86509	 9.40829	 1.42570	 3.13341	425.76806	-1348.061162	-2864583.912832	168461.587916
5270	10.00539	11.55595	10.06446	 9.87841	 9.42099	 1.42763	 3.13764	417.07375	-1348.222244	-2864510.025925	168065.538566
5271	10.00539	11.55595	10.06446	 9.87841	 9.42099	 1.42763	 3.12051	417.07375	-1348.139079	-2864627.984087	168349.825473
5272	10.19467	11.60830	10.11006	 9.92316	 9.46367	 1.43410	 3.13419	415.19264	-1348.362017	-2864580.427997	167856.394446
5273	10.22203	11.63945	 9.74006	 9.94979	 9.48906	 1.43794	 3.14260	414.08152	-1348.313434	-2864580.371992	167953.504354
5274	10.26418	11.68745	 9.78022	 9.61069	 9.52819	 1.44387	 3.13723	414.43798	-1348.124228	-2864551.488837	168303.031931
5275	10.29231	11.71948	 9.80703	 9.50720	 9.55431	 1.44783	 3.14583	422.82825	-1348.116121	-2864755.127477	168522.885935
5276	10.60100	12.18787	 9.83969	 9.53887	 9.58613	 1.45265	 3.15631	414.33578	-1348.037987	-2864685.700267	168609.726973
5277	10.63591	11.77961	10.38885	 9.57028	 9.61769	 1.45744	 3.18057	405.96084	-1348.544879	-2864631.604136	167541.845963
5278	10.21015	11.80971	10.41540	 9.27307	 9.79928	 1.46116	 3.18869	398.28425	-1348.527558	-2864549.497265	167494.380425
5279	10.79386	11.78841	10.39661	 9.25634	 9.78161	 1.45852	 3.18294	390.18472	-1348.552982	-2864676.628930	167570.665070
5280	10.42615	11.55096	 9.96303	 9.22825	 9.75193	 1.45410	 3.17328	391.37245	-1348.507160	-2864704.471382	167690.151312
5281	10.15847	11.52506	10.30144	 9.56685	 9.73006	 1.45084	 3.16617	392.25194	-1348.597960	-2864818.272126	167622.351761
5282	10.12435	11.06016	10.26684	 9.53473	 9.69738	 1.44597	 3.15554	402.25660	-1348.579782	-2864729.932213	167570.369133
5283	10.08486	11.01701	10.22680	 9.49753	 9.65956	 1.44379	 3.14323	409.74877	-1348.194080	-2864614.619985	168226.460823
5284	10.10974	11.04420	10.25203	 9.52097	 9.68339	 1.44736	 3.15098	408.74023	-1348.198423	-2864462.517799	168065.671819
5285	 9.73265	11.27137	10.23795	 9.50789	 9.67009	 1.44537	 3.14665	409.30237	-1348.273541	-2864650.301469	168103.219225
5286	 9.71046	11.47018	 9.72947	 9.48621	10.07391	 1.44821	 3.17057	418.55052	-1348.458211	-2864620.598239	167704.176994
5287	 9.40777	11.50067	 9.75533	 9.35211	10.10069	 1.45206	 3.17900	411.17786	-1348.504430	-2864695.382590	167686.522532
5288	 9.43497	11.53392	 9.93026	 9.37915	10.12990	 1.45626	 3.18819	409.99230	-1348.218473	-2864591.666427	168154.720774
5289	 9.46823	11.94122	 9.96526	 9.41221	10.16560	 1.46139	 3.19943	408.55223	-1348.492699	-2864551.397379	167565.999610
5290	 9.28045	11.91059	10.10029	 9.38807	10.13953	 1.45765	 3.19122	400.56562	-1348.429560	-2864626.141467	167767.021058
5291	 9.69591	11.95549	10.13837	 9.42346	10.17776	 1.46314	 3.20325	399.06120	-1348.409235	-2864628.367791	167809.897609
5292	 9.67573	11.47837	10.11727	 9.40385	10.15658	 1.46010	 3.19659	399.89341	-1348.470010	-2864649.219494	167709.199804
5293	 9.65031	11.58641	10.09069	 9.37914	10.12989	 1.45626	 3.18819	408.10209	-1348.621717	-2864722.356495	167478.922422
5294	10.08635	11.16925	10.06072	 9.35129	10.09981	 1.45193	 3.18897	419.46984	-1348.466483	-2864660.169326	167727.203833
5295	10.42963	11.16925	 9.69402	 9.35129	10.09981	 1.45193	 3.18897	419.46984	-1348.185138	-2864597.907542	168227.630959
5296	10.45881	11.20050	 9.72114	 9.37745	 9.75437	 1.45600	 3.17528	418.29950	-1348.052385	-2864622.117766	168517.348224
5297	10.47568	11.65710	 9.73682	 9.39258	 9.77010	 1.45835	 3.18040	417.62593	-1347.961774	-2864539.705137	168616.156182
5298	10.45347	11.63238	 9.71618	 9.13224	 9.74938	 1.45525	 3.17365	418.51335	-1347.763530	-2864584.625291	169057.565676
5299	10.48067	11.66265	 9.72757	 9.15600	 9.77475	 1.45904	 3.18191	417.42728	-1348.110693	-2864683.376558	168461.990618
5300	10.60430	11.42706	 9.70157	 9.13153	 9.74863	 1.45514	 3.20772	418.54580	-1347.973640	-2864610.383664	168663.103778
5301	10.12625	11.40179	 9.68012	 9.50740	 9.72707	 1.45192	 3.20063	419.47335	-1347.769480	-2864593.194035	169054.233145
5302	10.10216	11.37467	 9.65709	 9.48478	 9.70393	 1.44847	 3.19302	428.49175	-1347.677492	-2864638.904711	169283.920108
5303	 9.99154	11.40460	 9.68250	 9.95970	 9.72947	 1.45228	 3.21004	435.32985	-1347.766985	-2864594.482561	169060.511611
5304	10.00014	11.40460	 9.68250	 9.95970	 9.81841	 1.45228	 3.21004	449.29050	-1347.668782	-2864540.894889	169203.330841
5305	10.02070	11.78166	 9.70241	 9.98017	10.18996	 1.45527	 3.21664	448.36882	-1347.718748	-2864617.572238	169180.076579
5306	10.05076	11.51363	 9.73152	10.01012	10.22054	 1.45963	 3.22629	433.27058	-1347.691745	-2864547.159466	169163.670069
5307	10.07334	11.53950	 9.75338	10.03261	10.24350	 1.46291	 3.23354	432.29939	-1347.884130	-2864575.331429	168807.070962
5308	10.02254	11.48131	 9.70420	 9.98202	10.19184	 1.45553	 3.21724	438.66443	-1347.829015	-2864531.468077	168873.437659
5309	 9.70045	11.51672	 9.73413	10.01280	10.22328	 1.46002	 3.20488	437.31554	-1347.612510	-2864500.299798	169275.279329
5310	 9.30156	11.49883	 9.71900	 9.99725	10.20739	 1.45775	 3.17404	428.34676	-1347.797602	-2864569.372052	168974.168547
5311	 8.98769	11.49883	 9.71900	 9.99725	 9.73767	 1.45775	 3.15329	428.34676	-1347.712741	-2864606.817063	169181.335776
5312	 9.41639	11.49883	 9.71900	 9.99725	 9.73767	 1.45775	 3.13450	435.27255	-1347.928185	-2864672.425030	168816.054874
5313	 9.41639	11.10388	 9.71900	 9.63298	 9.73767	 1.45775	 3.13450	427.63460	-1347.966598	-2864647.333050	168714.136897
5314	 9.25994	11.54876	 9.75116	 9.50171	 9.76989	 1.46258	 3.14487	421.41551	-1348.219990	-2864589.421377	168149.440922
5315	 9.70123	11.50632	10.00748	 9.16008	 9.73399	 1.45720	 3.13331	410.66942	-1348.204816	-2864609.476950	168199.845748
5316	 9.43114	12.01074	10.00748	 9.16008	 9.52365	 1.45720	 3.13331	410.66942	-1348.297197	-2864577.383748	167982.989086
5317	 9.46545	12.05443	10.04389	 9.49698	 9.55830	 1.46250	 3.16776	403.67845	-1348.409074	-2864582.661626	167764.512865
5318	 9.73230	12.34841	10.08116	 9.53223	 9.59377	 1.46793	 3.17952	402.18598	-1348.451098	-2864581.398868	167679.202785
5319	 9.75042	12.51872	10.09993	 9.38715	 9.61163	 1.47066	 3.18544	401.43853	-1348.457839	-2864617.130027	167701.451834
5320	 9.70316	11.95212	10.05098	 9.34166	 9.56505	 1.46354	 3.17000	395.31748	-1348.490822	-2864511.689622	167530.044634
5321	 9.68477	11.55834	10.03193	 9.61165	 9.54691	 1.46076	 3.16399	403.27962	-1348.630134	-2864554.129466	167293.860857
5322	 9.44240	11.59380	10.06270	 9.64114	 9.57620	 1.46524	 3.17370	402.04626	-1348.570563	-2864608.964653	167467.838333
5323	 9.47395	11.63253	10.23596	 9.67335	 9.60819	 1.47014	 3.15600	408.03591	-1348.354864	-2864598.063001	167888.334562
5324	 9.83214	11.66139	10.26135	 9.69734	 9.63203	 1.47379	 3.16382	402.47878	-1348.776167	-2864725.931680	167173.597193
5325	 9.81625	11.64253	10.24476	 9.21912	 9.74132	 1.47140	 3.15871	391.42105	-1348.529485	-2864651.010497	167592.039754
5326	 9.52075	11.65628	10.25685	 9.60724	 9.75282	 1.47314	 3.19399	390.95944	-1348.484291	-2864647.081462	167678.500059
5327	 9.51571	11.65011	10.25143	 9.60216	 9.74766	 1.47236	 3.19230	403.53250	-1348.543335	-2864548.415796	167461.746362
5328	 9.53928	11.33227	10.27682	 9.17254	 9.77180	 1.47601	 3.17608	402.53563	-1348.580485	-2864535.495378	167374.524767
5329	 9.50838	11.29557	10.24353	 9.14283	 9.74015	 1.47123	 3.16579	403.84353	-1348.529763	-2864496.541147	167437.015038
5330	 9.78561	11.71331	10.27440	 9.29143	 9.76950	 1.47566	 3.17533	402.63046	-1348.580947	-2864749.528941	167587.635735
5331	 9.75356	11.67494	10.24074	 9.26099	 9.73750	 1.47083	 3.16493	399.62776	-1348.427334	-2864592.654449	167737.985476
5332	 9.72703	11.64319	10.21289	 9.23581	 9.71101	 1.46683	 3.17493	400.71759	-1348.519428	-2864581.281817	167542.425265
5333	 9.89780	12.20809	10.69014	 9.25740	 9.73372	 1.47025	 3.18236	393.97586	-1348.571576	-2864511.152255	167368.000151
5334	 9.49626	12.16746	10.14919	 8.87688	 9.70132	 1.46536	 3.17176	395.29155	-1348.603874	-2864525.269700	167317.522494
5335	 9.86986	12.09302	10.40221	 9.22034	 9.67037	 1.46069	 3.16165	396.55655	-1348.169292	-2864530.659031	168192.075985
5336	 9.50387	12.06391	10.37717	 9.19814	 9.64709	 1.45717	 3.15403	397.51352	-1348.198691	-2864636.584742	168239.202318
5337	10.07547	12.02662	10.34510	 9.16972	 9.61728	 1.45267	 3.14429	400.37663	-1348.566212	-2864642.434136	167510.010031
5338	10.07547	11.32150	10.34510	 9.16972	 9.61728	 1.45267	 3.14429	400.37663	-1348.500930	-2864643.889676	167642.029149
5339	10.04820	11.29085	10.31710	 9.14490	 9.59124	 1.44873	 3.16527	401.46328	-1348.358633	-2864615.203996	167897.938567
5340	10.32631	11.24214	10.02501	 9.10545	 9.54987	 1.44248	 3.15161	410.60649	-1348.171833	-2864570.582660	168226.916321
5341	10.27974	11.48664	 9.71188	 9.06438	 9.50680	 1.43598	 3.13740	412.46651	-1347.698843	-2864716.539998	169318.854081
5342	 9.95398	11.50695	 9.92119	 9.08041	 9.52361	 1.43852	 3.14295	411.73852	-1347.978301	-2864707.598953	168750.996602
5343	 9.98362	11.09596	 9.89584	 9.60198	 9.55197	 1.44280	 3.15231	420.97279	-1347.997057	-2864659.220915	168665.106044
5344	 9.95840	11.06794	 9.87085	 9.28478	 9.52785	 1.43916	 3.14435	422.03879	-1347.958422	-2864601.340109	168684.495232
5345	 9.76400	11.11010	 9.90845	 9.32015	 9.56414	 1.44464	 3.15632	409.60591	-1348.067844	-2864690.995601	168555.308535
5346	 9.73403	11.07600	 9.87804	 9.29155	 9.53479	 1.44021	 3.14664	417.91149	-1347.910918	-2864604.184748	168782.349058
5347	 9.75651	11.10158	 9.92263	 9.31301	 9.55681	 1.44353	 3.15390	408.98211	-1348.254376	-2864681.559856	168172.807592
5348	 9.75651	11.74464	 9.92263	 9.31301	 9.55681	 1.44353	 3.13092	403.75812	-1348.341839	-2864593.899842	167910.221637
5349	10.27273	11.72987	 9.91015	 9.30130	 9.54479	 1.44172	 3.15221	404.26642	-1348.370954	-2864618.372184	167876.464381
5350	10.26218	11.71782	 9.86919	 9.29175	 9.96809	 1.44024	 3.14897	415.74597	-1348.299779	-2864609.703429	168010.145109
5351	10.06781	11.33110	 9.90562	 9.32604	10.00488	 1.44555	 3.16060	425.47143	-1348.047487	-2864586.605020	168491.630629
5352	10.33797	11.91828	10.20504	 9.34206	10.02207	 1.44804	 3.18777	424.74159	-1347.881579	-2864523.171510	168760.012544
5353	10.03541	11.48675	10.01594	 9.31302	 9.99091	 1.44354	 3.17786	429.06472	-1347.939429	-2864550.942198	168672.084315
5354	10.01926	11.46827	 9.99983	 8.93563	 9.97484	 1.44121	 3.17275	423.45070	-1347.905037	-2864450.886835	168640.813385
5355	 9.62060	11.50870	10.03508	 8.70401	10.01000	 1.44629	 3.18393	421.96334	-1347.895898	-2864458.054713	168666.259286
5356	10.00430	11.54293	10.06493	 9.12545	10.03978	 1.45060	 3.19341	406.98221	-1348.037701	-2864566.708501	168491.306146
5357	10.27824	11.57017	10.08868	 9.14698	10.06347	 1.45402	 3.20094	406.02433	-1348.286648	-2864628.598974	168055.303885
5358	10.25438	11.85032	10.06526	 9.12575	10.04011	 1.45064	 3.19351	406.96902	-1348.087863	-2864491.620726	168315.894371
5359	 9.75701	12.46203	10.09586	 9.15349	10.07063	 1.45505	 3.21168	411.00580	-1348.459201	-2864420.050017	167501.647182
5360	 9.45199	12.10028	10.11801	 9.17358	10.09273	 1.45825	 3.21873	410.10593	-1348.480718	-2864690.990768	167729.554348
5361	 9.43248	11.68995	10.09713	 9.15464	10.07190	 1.45524	 3.21209	410.95418	-1348.290998	-2864538.781826	167956.786196
5362	 9.40292	11.65332	10.06548	 9.59689	10.04033	 1.45068	 3.20202	416.81076	-1348.161948	-2864524.914188	168201.019035
5363	 9.12702	11.36730	10.04354	 9.57596	10.01845	 1.44751	 3.19504	425.39051	-1348.285386	-2864515.228156	167944.456652
5364	 9.12702	11.36730	 9.83948	 9.27184	10.01845	 1.44751	 3.19504	412.75450	-1348.109242	-2864451.718407	168233.234378
5365	 9.11582	11.35334	10.00975	 9.51588	10.00615	 1.44574	 3.16990	413.26173	-1348.146943	-2864400.141984	168106.256750
5366	 9.09164	11.19380	 9.98320	 9.49064	 9.97961	 1.44190	 3.16149	414.36076	-1348.074156	-2864533.594630	168385.283022
5367	 9.12250	11.23180	10.01708	 9.52285	10.01348	 1.44680	 3.17222	426.89139	-1348.113664	-2864571.347078	168344.019784
5368	 9.10619	11.21172	 9.99918	 9.50583	 9.99558	 1.44421	 3.16655	427.65580	-1348.209736	-2864497.569592	168078.096884
5369	 8.92604	11.25318	10.03615	 9.54098	10.03254	 1.44955	 3.21125	430.34083	-1348.237061	-2864468.142658	167994.019856
5370	 8.96198	11.71434	10.07656	 9.57940	10.07294	 1.45539	 3.22418	428.61492	-1348.151134	-2864508.016420	168205.749015
5371	 8.96198	11.32929	10.07656	 9.92976	10.07294	 1.45539	 3.24923	422.06352	-1348.035797	-2864400.155853	168328.561764
5372	 9.10182	11.68658	10.04593	 9.89957	10.04232	 1.45096	 3.23935	423.35054	-1348.422147	-2864495.650506	167651.356394
5373	 9.06182	11.63522	10.00178	 9.85606	 9.99818	 1.44459	 3.22511	429.78538	-1348.092872	-2864602.043836	168416.300656
5374	 9.03452	11.60016	 9.97164	10.09141	 9.96806	 1.44023	 3.19663	427.74266	-1348.111225	-2864645.381594	168422.931562
5375	 8.98590	10.79486	 9.91798	10.03711	 9.91442	 1.43248	 3.19329	430.05686	-1348.235332	-2864594.820719	168124.157089
5376	 9.29216	10.83281	 9.95284	10.07239	 9.94927	 1.43752	 3.20452	436.14289	-1348.137970	-2864554.869548	168278.929750
5377	 9.29216	11.15191	 9.95284	10.07239	 9.94927	 1.43752	 3.17423	442.43190	-1347.787656	-2864489.948141	168914.636398
5378	 9.32520	11.61471	 9.98823	10.10821	 9.98464	 1.44263	 3.20522	440.86423	-1347.997770	-2864601.310941	168605.770639
5379	 8.89781	11.58059	10.31002	10.07851	 9.95531	 1.43839	 3.19580	452.66098	-1347.633751	-2864530.405528	169262.902799
5380	 8.86449	11.53723	10.27141	 9.75255	 9.91803	 1.43300	 3.18384	461.56794	-1347.632699	-2864703.725504	169438.327143
5381	 8.40434	11.51354	10.25033	 9.73253	 9.89767	 1.43006	 3.17730	462.51742	-1347.473451	-2864612.079952	169665.178018
5382	 8.78158	11.50305	10.24099	10.09727	 9.88866	 1.42876	 3.17441	459.17117	-1347.175614	-2864551.016093	170199.787247
5383	 8.76092	11.72481	10.21689	10.07351	 9.86538	 1.42540	 3.18913	460.11183	-1347.446832	-2864632.785487	169739.120521
5384	 8.73249	11.19158	10.18374	10.04083	 9.83338	 1.42077	 3.17879	461.60956	-1347.795036	-2864607.366934	169017.294795
5385	 9.09729	11.67152	10.43139	10.39954	 9.81584	 1.41824	 3.17312	451.52738	-1347.737451	-2864570.446906	169095.544214
5386	 9.09729	11.67152	10.43139	10.39954	 9.81584	 1.41824	 3.17312	446.39136	-1348.141959	-2864550.839300	168266.921680
5387	 9.06025	11.79310	10.38891	10.35720	 9.77587	 1.41246	 3.16020	439.40370	-1348.060740	-2864588.453899	168466.974785
5388	 9.04344	11.77122	10.36964	10.03857	 9.75773	 1.40984	 3.15433	440.22045	-1347.974850	-2864598.522118	168648.822674
5389	 9.06806	11.80326	10.39787	10.06590	 9.78430	 1.41368	 3.16292	439.02536	-1348.002742	-2864545.497400	168540.014265
5390	 9.08902	11.35451	10.42190	10.40807	 9.80691	 1.41695	 3.17023	438.01289	-1348.157199	-2864499.973639	168185.574850
5391	 9.27409	11.35451	10.42190	10.40807	 9.80691	 1.41695	 3.17023	438.01289	-1348.203373	-2864599.412563	168192.665820
5392	 8.90147	11.33616	10.40506	10.39125	 9.79106	 1.41466	 3.18631	438.72193	-1348.203907	-2864510.441770	168102.627222
5393	 8.94000	11.15539	10.04793	10.43622	 9.83344	 1.42078	 3.20010	427.03552	-1348.183854	-2864546.664236	168178.956888
5394	 8.94000	11.15539	10.04793	10.43622	 9.83344	 1.42078	 3.20010	427.03552	-1348.286815	-2864522.358924	167948.728086
5395	 8.91348	11.12230	10.37238	10.40526	 9.80427	 1.41657	 3.19061	437.43032	-1348.071931	-2864538.247714	168394.385458
5396	 8.66896	11.08489	10.33749	10.37026	 9.77129	 1.41180	 3.17987	438.90669	-1348.315499	-2864506.955870	167875.956967
5397	 8.97239	11.08489	 9.93213	10.37026	 9.77129	 1.41180	 3.17987	438.90669	-1348.345543	-2864465.786355	167774.700339
5398	 8.57355	11.03642	 9.88870	10.32492	 9.72857	 1.40563	 3.16597	439.37324	-1348.208721	-2864602.214900	168184.772133
5399	 8.52956	10.97980	 9.83797	10.27195	 9.67866	 1.39842	 3.16878	441.63916	-1348.025380	-2864585.727512	168534.967319
5400	 8.55266	11.00954	 9.86462	10.29977	 9.70487	 1.40221	 3.17736	447.83336	-1348.057261	-2864518.659005	168404.137893
5401	 8.52720	10.97676	 9.83525	10.26911	 9.67598	 1.39803	 3.16791	455.64772	-1347.671279	-2864511.481273	169168.923572
5402	 8.79257	10.54423	10.20127	10.30672	 9.71142	 1.40315	 3.17951	442.02771	-1347.734683	-2864420.134179	168950.768295
5403	 8.84766	10.81282	10.16949	10.27462	 9.68117	 1.39878	 3.16961	449.31780	-1347.976331	-2864465.269763	168512.607845
5404	 9.06091	11.12709	10.21139	10.31695	 9.72106	 1.40455	 3.19566	447.47411	-1348.335136	-2864563.736118	167893.465083
5405	 8.94837	11.10888	10.19468	10.30006	 9.70515	 1.40225	 3.19043	455.51904	-1348.291850	-2864655.645962	168071.945884
5406	 8.85200	11.10888	10.19468	10.30006	 9.70515	 1.40095	 3.19043	455.51904	-1348.025458	-2864547.317515	168496.402038
5407	 9.29470	11.12499	10.20946	10.31500	 9.71922	 1.40298	 3.19506	454.85930	-1348.318438	-2864632.430178	167995.553619
5408	 9.26621	11.05196	10.17817	10.28339	 9.68944	 1.39868	 3.18527	456.25760	-1348.129572	-2864550.485287	168291.340735
5409	 9.24186	10.55781	10.15142	10.25636	 9.66397	 1.39500	 3.19610	450.18821	-1347.965690	-2864514.437132	168583.056310
5410	 9.54523	10.60857	10.20024	 9.88951	 9.71044	 1.40171	 3.21147	440.29881	-1347.663078	-2864410.640450	169084.484456
5411	 9.54523	10.35025	10.20024	 9.38703	 9.71044	 1.40171	 3.17365	440.29881	-1347.504567	-2864504.495567	169495.360746
5412	 9.29057	10.32342	10.17379	 9.36270	 9.68527	 1.39808	 3.14391	448.48212	-1347.680474	-2864586.683189	169225.734211
5413	 9.31050	10.34556	10.19562	 9.38278	 9.70604	 1.40107	 3.15065	444.24173	-1347.551222	-2864602.312731	169499.869530
5414	 9.09413	10.61358	10.76476	 9.36718	 9.68990	 1.39874	 3.14541	452.62026	-1347.521056	-2864589.348793	169547.236838
5415	 9.07922	10.16429	10.74710	 9.35181	 9.67401	 1.39645	 3.14025	453.36395	-1347.455084	-2864519.927546	169609.759257
