,hypothesis,root,reference,E_ratio
132,1212.399504468,1092.8964774393135,1092.8964774393135,-119.50302702868657
133,1193.413097798,1067.339082950237,1067.339082950237,-126.07401484776301
134,1196.739791298,1076.5426355254144,1076.5426355254144,-120.19715577258557
135,1189.683493185,1059.3329962562425,1059.3329962562425,-130.3504969287576
136,1204.090273018,1085.644650875976,1085.644650875976,-118.44562214202415
137,1185.749915247,1061.8288291844767,1061.8288291844767,-123.92108606252327
138,1212.8716424739998,1100.7482991396555,1100.7482991396555,-112.12334333434433
139,1190.00526302,1062.9640633233062,1062.9640633233062,-127.04119969669387
140,1192.318099567,1067.999484492856,1067.999484492856,-124.31861507414396
141,1196.4410663889998,1078.4564303425225,1078.4564303425225,-117.98463604647736
142,1193.060015432,1071.3644256696439,1071.3644256696439,-121.69558976235612
143,1202.972617182,1094.4515716372935,1094.4515716372935,-108.52104554470657
144,1206.614731291,1102.9010399530487,1102.9010399530487,-103.71369133795133
145,1202.780677832,1094.097572699411,1094.097572699411,-108.68310513258893
146,1206.1130045710001,1102.8999300573787,1102.8999300573787,-103.21307451362145
147,1200.795076227,1090.5039602621328,1090.5039602621328,-110.29111596486723
148,1196.851860678,1081.6380391991024,1081.6380391991024,-115.21382147889767
149,1181.991576221,1063.0436468779058,1063.0436468779058,-118.9479293430943
150,1202.4539117460001,1083.2572305825086,1083.2572305825086,-119.19668116349158
151,1203.506108166,1088.1446208461577,1088.1446208461577,-115.36148731984235
152,1200.406526895,1078.6583960315459,1078.6583960315459,-121.74813086345421
153,1192.351576825,1073.4405072635352,1073.4405072635352,-118.91106956146473
154,1198.16007909,1087.1825284619665,1087.1825284619665,-110.97755062803344
155,1194.340342638,1076.2014521607937,1076.2014521607937,-118.13889047720636
156,1180.29632903,1060.5563912293596,1060.5563912293596,-119.73993780064029
157,1176.58212702,1053.5132644496973,1053.5132644496973,-123.0688625703026
158,1193.441305522,1071.5193581295946,1071.5193581295946,-121.9219473924054
159,1209.182771969,1100.5144637303483,1100.5144637303483,-108.66830823865166
160,1210.019148255,1098.8862419905083,1098.8862419905083,-111.13290626449157
161,1216.3478438989998,1100.8085016623052,1100.8085016623052,-115.53934223669467
162,1203.691811466,1095.1258000673567,1095.1258000673567,-108.56601139864324
163,1199.094961374,1085.5027139447473,1085.5027139447473,-113.59224742925267
164,1213.221163511,1105.286186705113,1105.286186705113,-107.93497680588689
165,1181.847648729,1075.8440578024918,1075.8440578024918,-106.0035909265082
166,1208.563692187,1107.3469432316633,1107.3469432316633,-101.2167489553367
167,1179.70460384,1063.2708803874034,1063.2708803874034,-116.4337234525965
168,1190.390169576,1081.1362558728501,1081.1362558728501,-109.25391370314992
169,1179.787141095,1070.4524872474508,1070.4524872474508,-109.33465384754913
170,1162.981815957,1039.3118312233796,1039.3118312233796,-123.66998473362037
171,1189.712875221,1078.4851765722997,1078.4851765722997,-111.22769864870043
172,1186.469668279,1078.0332457501809,1078.0332457501809,-108.4364225288191
173,1201.73136266,1102.510397228642,1102.510397228642,-99.22096543135808
174,1186.157252413,1090.021604741488,1090.021604741488,-96.13564767151183
175,1204.152914373,1108.0762518198655,1108.0762518198655,-96.07666255313438
176,1188.784578364,1091.857392895286,1091.857392895286,-96.92718546871401
177,1177.4034779830001,1083.2112530655688,1083.2112530655688,-94.1922249174313
178,1172.432311867,1078.7556377596588,1078.7556377596588,-93.67667410734111
179,1155.463587852,1061.1103719592932,1061.1103719592932,-94.35321589270688
180,1189.5682239139999,1095.8535853764502,1095.8535853764502,-93.71463853754972
181,1198.811799375,1104.9533838455195,1104.9533838455195,-93.85841552948045
