Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	m_D->B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
11	1.03165044943256711817980431078467518	1.26942987104805804499108035088283941	1.01507868882860741166496154619380832	0.92861630846283305107391470301081426	1.29745115092353557884052861481904984	1.19243286795064462602056210016598925	0.85200698621798154341888675844529644	0.00740967023758656688492418851410548	0.09815069983156080035691104512807215	0.40942329308492197981195204192772508	18.92313876824108476171204529237002134	-1340.74620276944710894895251840353012085	-14026.94558564988255966454744338989257812	619.48355795541101542767137289047241211
12	0.99681734676876776468645857676165178	1.21935915880053635795832178700948134	0.98044542705928727777120457176351920	0.97382131039752573009593561437213793	1.26112491738057364010217042959993705	1.23377311813897838632669845537748188	0.87993634775868057040781877731205896	0.01256848561996437400878345869159602	0.09034003787644860616889985749367042	0.37971940027201545042601082968758419	18.82118786401701626687099633272737265	-1341.19595327954129970748908817768096924	-14034.24008822723953926470130681991577148	622.28055543182745168451219797134399414
13	1.00089696009039452739841635775519535	1.17679078936958059209416660451097414	1.00557216311329145064235035533783957	1.03707658130553603825774189317598939	1.32180973213149477452077462658053264	1.26366725055287765222544749121880159	0.84843810870145797142782839728170075	0.01254935850862376640890705203901234	0.08513916059979391437462226122079301	0.41180353301993311010420484308269806	19.02026572593438658032027888111770153	-1342.38736124796423609950579702854156494	-14036.34148823045143217314034700393676758	612.46787575080998067278414964675903320
14	1.03379712753056662855044578464003280	1.10306441075927508244092223321786150	1.04238075626045056942814426292898133	0.98927968622207385074318608531029895	1.38591515073423199311264397692866623	1.21490576788351756221118193934671581	0.81589221293038172166944832497392781	0.00058851374973068121872893376789193	0.08579410015897750985125469469494419	0.39026325597062350158950039258343168	18.72375633813815909434197237715125084	-1343.57898452228778296557720750570297241	-14034.29473270152629993390291929244995117	598.50488747864801553077995777130126953
15	0.98438858664708994705705435990239494	1.03336279805116526553376843367004767	1.05991830153057908781022433686302975	0.99544422509987395830677314734202810	1.48124628943869396380250691436231136	1.25474438396919318883249161444837227	0.85675524501739042104730970095261000	0.01206936880903316210156273058373699	0.07181049652984204667571788149871281	0.41652858942318476964672413487278391	19.02448566667226614868013712111860514	-1341.88558868042650829011108726263046265	-14034.79025184112288116011768579483032227	615.93436503685734351165592670440673828
16	0.93272093871249839303061435202835128	0.98204579846604644899343838915228844	1.10313357637761089158345839678077027	0.96343102822713422295208829382318072	1.55989280478697267540155735332518816	1.25076959395506892569471801834879443	0.89978161799699496459226111255702563	0.01663250074327119257255880313550733	0.06441406224492980669982244990023901	0.39073522407718169757728787772066426	18.56658707299744648366868204902857542	-1342.56916928936925614834763109683990479	-14034.35420502472879888955503702163696289	608.66251213103714690078049898147583008
17	0.87906887181208059889314654355985112	0.95032522695861532113781322550494224	1.15281947750430613375272059784037992	0.95225071679022821324878123050439171	1.49847038977097790635184537677560002	1.22275212634515040299731936102034524	0.87198765540529266093727756015141495	0.02527880469699707657871279309347301	0.06822831398047793372008129608730087	0.38204158275630623053942258593451697	18.21651355801283855839756142813712358	-1342.45561501205725107865873724222183228	-14033.99201156815252033993601799011230469	609.43586144758046430069953203201293945
18	0.90128592976015353688268305631936528	0.91166725975777107571218493831111118	1.10660489595785294092422645917395130	0.92699763223538667045175998282502405	1.56073567575737159884852189861703664	1.18431448063211397503380339912837371	0.82705991424380920218339952043606900	0.02527880469699707657871279309347301	0.06220990788258279335920519770297688	0.35810552519572186325191864852968138	18.69505883504253418436746869701892138	-1340.53579926971474378660786896944046021	-14026.90824310907009930815547704696655273	621.55025041192311618942767381668090820
19	0.85473847722685325489777596885687672	0.92975989919010026962808979078545235	1.18003881428682166898624927853234112	0.93052640651443130348496879378217272	1.51512933557740003820413221546914428	1.14373798938871229502467485872330144	0.86490548351818696826143195721670054	0.02537503276999080251141727160302253	0.05692593124093249523642867870876216	0.35946871483348524778378418886859436	18.97078657724288675012758176308125257	-1342.28473776354758228990249335765838623	-14034.90181530211702920496463775634765625	612.05443766664029681123793125152587891
20	0.88616388386109590236117128370096907	0.95162417581426417267920214726473205	1.23704259106034131221463212568778545	0.93283933955791775716193114931229502	1.43464472116783303690112916228827089	1.09965015073735727924031380098313093	0.89392736117267068696179421749548055	0.01633434744095381419004553436025162	0.05706742735160343082956302396269166	0.36036221668664847328500400180928409	18.38616630427385345569746277760714293	-1340.62232184322283501387573778629302979	-14032.04370950938573514577001333236694336	625.82049107715829450171440839767456055
