Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
60	 1.06554	 2.04313	 0.94187	 2.98276	 2.22066	 2.95384	 3.16502	 0.07651	 0.10819	 0.93310	-1347.392002152	-1401868.111414289	54476.109261957
61	 1.02959	 2.00092	 0.90500	 2.98276	 2.25628	 2.95384	 3.22922	 0.07651	 0.10819	 0.93310	-1347.336754205	-1401797.261115802	54460.506910415
62	 1.00914	 1.94232	 0.87339	 3.09547	 2.26241	 2.96186	 3.37828	 0.07671	 0.10848	 0.93564	-1347.249974624	-1401780.910910615	54530.936287084
63	 0.97316	 2.00635	 0.87617	 3.19219	 2.26960	 2.97128	 3.38902	 0.08474	 0.10882	 0.93861	-1347.396395385	-1401801.456240107	54405.060855076
64	 1.00949	 1.94629	 0.91892	 3.35326	 2.21495	 3.05592	 3.40031	 0.08502	 0.10919	 0.94174	-1347.562109236	-1401846.865108096	54284.755871676
65	 0.98097	 1.84519	 0.92173	 3.36380	 2.11639	 3.06553	 3.54939	 0.08529	 0.10953	 0.95800	-1347.621231781	-1401776.225894407	54154.994112934
66	 0.97336	 1.73147	 0.92309	 3.53547	 2.11951	 3.07004	 3.55461	 0.08541	 0.10969	 0.95941	-1347.557842283	-1401748.443246108	54190.600963313
67	 1.00332	 1.81348	 0.88621	 3.66600	 2.15954	 3.07700	 3.56267	 0.08561	 0.10994	 0.96159	-1347.665605053	-1401821.395228197	54155.790175411
68	 1.00712	 1.86654	 0.86440	 3.81562	 2.24315	 3.18191	 3.75359	 0.08593	 0.11036	 1.00200	-1348.005839825	-1401797.769631858	53791.929807242
69	 0.98246	 1.91697	 0.92427	 3.81562	 2.16070	 3.28006	 3.75359	 0.08593	 0.10715	 1.00200	-1347.843962969	-1401803.990609189	53960.027640056
70	 1.01873	 1.84394	 0.90730	 3.98138	 2.06110	 3.27228	 3.74468	 0.08573	 0.10690	 0.97418	-1347.995937012	-1401881.639541190	53885.702528816
71	 1.08521	 1.80225	 0.87909	 4.21959	 2.06864	 3.28424	 3.75837	 0.08604	 0.10729	 0.97774	-1347.929856449	-1401818.135717739	53888.279268241
72	 1.04724	 1.77622	 0.83794	 4.23294	 2.17304	 3.47521	 3.93185	 0.08631	 0.10763	 0.98084	-1348.110468058	-1401875.408906867	53764.940848899
73	 1.05032	 1.68946	 0.84041	 4.51298	 2.26336	 3.34207	 3.94344	 0.07721	 0.09995	 0.97349	-1348.062221740	-1401795.789470942	53733.567730566
74	 1.07691	 1.68946	 0.81464	 4.40560	 2.15969	 3.34207	 3.94344	 0.07721	 0.09995	 0.97349	-1348.033874801	-1401816.011535203	53782.136734481
75	 1.03208	 1.69170	 0.81572	 4.53351	 2.18083	 3.34650	 4.00959	 0.07731	 0.09366	 0.97478	-1348.107860781	-1401797.544901934	53689.684120530
76	 0.98731	 1.80608	 0.83651	 4.65568	 2.18083	 3.46419	 4.25400	 0.07731	 0.09366	 0.97478	-1348.326634805	-1401777.371669847	53450.736865077
