Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
2557	 1.22587	 2.21027	 4.50155	 6.72505	 1.75304	 2.24054	 5.41773	 0.10927	 0.13876	 0.68497	-1348.330459839	-1401725.434575009	53394.974736496
2558	 1.28878	 2.16675	 4.42406	 6.85714	 1.67145	 2.24556	 5.60119	 0.11631	 0.13908	 0.68650	-1348.238879200	-1401676.517416268	53437.638216200
2559	 1.32574	 2.06539	 4.28626	 6.67800	 1.61214	 2.25100	 5.42573	 0.11659	 0.13941	 0.68817	-1348.230432611	-1401662.423897908	53431.991287177
2560	 1.35121	 2.05963	 4.20046	 6.92709	 1.54555	 2.24472	 5.41058	 0.11627	 0.13902	 0.68624	-1348.114413330	-1401621.637775056	53507.224445407
2561	 1.28847	 2.00042	 4.40783	 6.94489	 1.49704	 2.32518	 5.42449	 0.11657	 0.14445	 0.68801	-1348.187221857	-1401633.740997422	53446.519140117
2562	 1.28479	 1.94130	 4.26381	 7.20412	 1.39666	 2.31854	 5.40900	 0.11623	 0.14404	 0.68604	-1348.242660412	-1401651.005748266	53408.345336404
2563	 1.32693	 2.07202	 4.18647	 6.95306	 1.33826	 2.26285	 5.21361	 0.11643	 0.14428	 0.68718	-1348.174920283	-1401680.443096152	53505.522812806
2564	 1.32300	 1.99851	 4.02213	 7.26211	 1.28642	 2.25614	 5.19815	 0.11608	 0.14385	 0.68515	-1348.166243740	-1401741.609931211	53575.366191230
2565	 1.25485	 2.10245	 3.84061	 7.22393	 1.27966	 2.24428	 5.24867	 0.11547	 0.14310	 0.68155	-1348.095910242	-1401749.152071884	53653.241830375
2566	 1.22203	 2.15839	 3.82914	 7.39143	 1.21222	 2.30058	 5.23300	 0.11513	 0.14267	 0.67951	-1348.216634089	-1401772.866319295	53556.232230029
2567	 1.26253	 2.18228	 3.68183	 6.96401	 1.21653	 2.25571	 5.25162	 0.11554	 0.14318	 0.68193	-1348.035026239	-1401764.204828543	53729.178589363
2568	 1.27641	 2.06215	 3.80505	 6.64936	 1.21460	 2.25212	 5.24325	 0.11535	 0.14295	 0.68084	-1348.024045229	-1401724.789693259	53700.744464123
2569	 1.22681	 1.97323	 3.90673	 6.78293	 1.17398	 2.24441	 5.22531	 0.11496	 0.14246	 0.67851	-1348.073997529	-1401712.569907175	53638.572377787
2570	 1.29377	 1.89112	 3.69306	 6.75041	 1.11625	 2.23365	 5.20026	 0.11441	 0.14178	 0.67526	-1348.028142211	-1401717.272434351	53689.130222999
2571	 1.33554	 1.80130	 3.56291	 7.05731	 1.11927	 2.23060	 5.21436	 0.11472	 0.14216	 0.67709	-1347.999041117	-1401641.124629775	53642.083513213
2572	 1.40045	 1.86179	 3.68955	 7.41312	 1.17298	 2.23067	 5.21453	 0.11472	 0.14217	 0.67711	-1348.129902230	-1401693.532826228	53563.630596136
2573	 1.46544	 1.78070	 3.69661	 7.32372	 1.17522	 2.23494	 5.22450	 0.11245	 0.14244	 0.67841	-1348.056000544	-1401696.621632800	53640.621089137
2574	 1.42534	 1.88930	 3.48658	 7.07458	 1.17045	 2.22586	 5.20328	 0.11199	 0.14186	 0.67565	-1348.172899004	-1401712.184121315	53539.285117080
2575	 1.47560	 1.81783	 3.36163	 7.05898	 1.10814	 2.22095	 5.19181	 0.11174	 0.14155	 0.67416	-1347.947478029	-1401679.469884204	53731.991855210
2576	 1.53209	 1.76140	 3.57176	 7.34670	 1.15801	 2.22427	 5.19955	 0.11767	 0.14176	 0.67517	-1347.916831309	-1401722.155919925	53805.324611187
2577	 1.52738	 1.71246	 3.50732	 7.48003	 1.10828	 2.27108	 5.18356	 0.11731	 0.14132	 0.67981	-1348.066022432	-1401680.122350225	53614.099918348
2578	 1.58574	 1.76147	 3.51656	 7.22999	 1.06906	 2.27706	 5.19721	 0.11762	 0.14169	 0.68160	-1347.987844742	-1401659.608544468	53671.763802618
2579	 1.56004	 1.76580	 3.35384	 6.91108	 1.12060	 2.32369	 5.20998	 0.11791	 0.13671	 0.68328	-1348.077765832	-1401688.148598627	53610.382766620
2580	 1.52785	 1.76877	 3.49340	 6.92271	 1.16601	 2.24667	 5.21876	 0.11811	 0.13694	 0.68443	-1348.118480430	-1401672.064144004	53553.583714422
2581	 1.44771	 1.76616	 3.32179	 7.12934	 1.15554	 2.24335	 5.21104	 0.11793	 0.13674	 0.68013	-1348.114424658	-1401701.566522722	53587.141864556
2582	 1.39745	 1.69655	 3.45185	 7.56246	 1.14313	 2.29913	 5.22779	 0.11831	 0.13718	 0.68231	-1347.993157155	-1401706.875866665	53713.718711369
2583	 1.34368	 1.69448	 3.62252	 7.30725	 1.16463	 2.29631	 5.29781	 0.11817	 0.13701	 0.68148	-1347.899241675	-1401655.006038149	53755.764362672
2584	 1.34120	 1.72396	 3.48807	 6.90204	 1.12101	 2.29208	 5.48200	 0.11795	 0.13675	 0.68022	-1348.152571051	-1401631.655744015	53479.084692664
2585	 1.33728	 1.71892	 3.32887	 7.07288	 1.11773	 2.21025	 5.61963	 0.11963	 0.13635	 0.67823	-1348.111617044	-1401622.825597084	53511.208552715
2586	 1.31386	 1.62383	 3.24809	 6.79485	 1.07918	 2.21801	 5.63937	 0.12005	 0.13683	 0.66311	-1347.963044192	-1401644.522366306	53681.478174507
2587	 1.33342	 1.67516	 3.34988	 6.58483	 1.02604	 2.15084	 5.62146	 0.11967	 0.13640	 0.66101	-1348.212240440	-1401713.564730330	53501.324290771
2588	 1.28667	 1.63693	 3.34988	 6.36303	 1.05737	 2.15084	 5.51674	 0.11967	 0.13640	 0.66101	-1348.051518167	-1401640.814344538	53589.296177145
2589	 1.23760	 1.61142	 3.45962	 6.60147	 1.00202	 2.14566	 5.50345	 0.11938	 0.13607	 0.65942	-1347.867075246	-1401655.577555997	53788.502309891
2590	 1.21615	 1.66067	 3.44832	 6.74101	 0.98230	 2.13866	 5.48548	 0.11899	 0.13563	 0.65726	-1348.013476244	-1401675.970546130	53662.494302592
2591	 1.15298	 1.61056	 3.52601	 6.61675	 0.95317	 2.14438	 5.67443	 0.11555	 0.13599	 0.65902	-1348.099699872	-1401715.529849572	53615.829977736
2592	 1.15642	 1.54533	 3.68198	 6.83363	 0.98187	 2.15078	 5.56069	 0.11589	 0.13639	 0.64277	-1347.898980309	-1401717.449137985	53818.468828687
2593	 1.10716	 1.58878	 3.85394	 6.89873	 0.94875	 2.07504	 5.57641	 0.11622	 0.13678	 0.64458	-1347.877809943	-1401724.444448948	53846.634505964
2594	 1.05758	 1.58036	 3.95687	 7.10019	 1.00134	 2.06405	 5.54688	 0.11295	 0.13606	 0.64117	-1347.921261589	-1401735.675097310	53814.413508428
2595	 1.12470	 1.49798	 3.72082	 7.48335	 1.03643	 2.07234	 5.56914	 0.11340	 0.13660	 0.64374	-1347.878913807	-1401744.569152829	53865.655346314
2596	 1.09489	 1.47234	 3.92322	 7.40305	 1.09914	 2.13905	 5.72883	 0.11340	 0.13660	 0.64374	-1348.039472746	-1401722.829099769	53683.356353831
2597	 1.04855	 1.43304	 3.74762	 7.11976	 1.10630	 2.13442	 5.57459	 0.11638	 0.14106	 0.64235	-1347.924587379	-1401639.996457182	53715.409077787
2598	 1.02492	 1.47190	 3.57524	 7.34158	 1.10972	 2.14103	 5.59185	 0.11674	 0.14149	 0.64434	-1348.032376181	-1401689.281208892	53656.905028300
2599	 0.98725	 1.50097	 3.56339	 7.31725	 1.04846	 2.13393	 5.57332	 0.11635	 0.14102	 0.64220	-1348.036353690	-1401686.209237410	53649.855547472
2600	 1.03471	 1.49609	 3.53517	 7.55624	 1.06796	 2.12700	 5.55520	 0.11597	 0.14057	 0.64012	-1347.899173743	-1401694.222792882	53795.049050324
2601	 0.99622	 1.47137	 3.69496	 7.55624	 1.03509	 2.12700	 5.47366	 0.11597	 0.13686	 0.64012	-1347.871277100	-1401659.203133942	53787.926034348
2602	 1.03066	 1.46417	 3.56314	 7.26009	 1.05753	 2.11659	 5.44687	 0.11540	 0.14029	 0.63698	-1347.818084799	-1401698.471361203	53880.386561852
2603	 1.06512	 1.40401	 3.55242	 7.49300	 1.03924	 1.99847	 5.45462	 0.11557	 0.14049	 0.63789	-1347.765741150	-1401674.938029914	53909.196879980
2604	 1.10476	 1.39903	 3.63947	 7.46640	 1.07749	 1.99138	 5.43526	 0.11516	 0.13999	 0.63563	-1347.672507239	-1401668.280883048	53995.773643752
2605	 1.14278	 1.41572	 3.71241	 7.23425	 1.10919	 1.99370	 5.44159	 0.11529	 0.14015	 0.63637	-1347.814489720	-1401700.620038139	53886.130318282
2606	 1.20005	 1.37225	 3.51888	 7.05991	 1.06739	 2.04046	 5.46118	 0.11571	 0.14066	 0.63866	-1347.661350904	-1401669.091053297	54007.740149625
2607	 1.26397	 1.43926	 3.66502	 6.90351	 1.02805	 2.04675	 5.47803	 0.11606	 0.14109	 0.64063	-1347.796498839	-1401714.532499837	53918.033661152
2608	 1.23260	 1.40367	 3.55205	 6.93196	 1.01289	 1.97429	 5.50060	 0.11654	 0.14167	 0.64327	-1347.705664534	-1401637.695194118	53932.030660216
2609	 1.28928	 1.35576	 3.70122	 6.94557	 1.04610	 1.97817	 5.51141	 0.11677	 0.14195	 0.64453	-1347.728647739	-1401666.271060299	53937.623320813
2610	 1.28372	 1.43979	 3.53420	 6.60680	 0.97539	 1.96964	 5.48765	 0.11627	 0.14134	 0.63148	-1347.472314976	-1401632.154753504	54159.839777795
2611	 1.28153	 1.37284	 3.69712	 6.46865	 0.93975	 1.96629	 5.47830	 0.11607	 0.14110	 0.63041	-1347.561716359	-1401675.028433715	54113.312074580
2612	 1.23047	 1.42348	 3.96003	 6.77752	 0.91870	 1.97710	 5.50843	 0.11671	 0.14187	 0.63388	-1347.609119848	-1401635.266621099	54026.146772845
2613	 1.23686	 1.43088	 4.10928	 6.81273	 0.88634	 1.93934	 5.33259	 0.11731	 0.14261	 0.63717	-1347.585907365	-1401666.931094711	54081.023729477
2614	 1.28424	 1.49617	 4.26661	 6.57823	 0.94346	 1.93254	 5.31389	 0.11690	 0.14211	 0.63493	-1347.523978489	-1401693.005219530	54169.026730432
2615	 1.31989	 1.56171	 4.08844	 6.56198	 0.91724	 1.92776	 5.30076	 0.11661	 0.14176	 0.63337	-1347.620002731	-1401667.542160074	54047.539429242
2616	 1.26265	 1.63228	 4.20300	 6.40493	 0.87108	 1.91861	 5.27560	 0.11606	 0.14109	 0.63036	-1347.378854235	-1401684.999719271	54306.145484259
2617	 1.25829	 1.58000	 4.04908	 6.38286	 0.86807	 1.97717	 5.37539	 0.11566	 0.14060	 0.62819	-1347.461289192	-1401687.030891353	54225.741699244
2618	 1.19667	 1.52978	 3.87094	 6.36350	 0.90506	 1.97117	 5.09892	 0.11531	 0.14018	 0.62628	-1347.432858546	-1401657.693185987	54224.834640310
2619	 1.23691	 1.46867	 3.65054	 6.10414	 0.90830	 1.97822	 5.11714	 0.11572	 0.14068	 0.62852	-1347.491154162	-1401696.987675335	54205.833513669
2620	 1.22203	 1.53993	 3.73067	 6.41148	 0.91323	 1.93089	 5.14494	 0.11635	 0.13822	 0.63193	-1347.543051795	-1401730.654567471	54187.602772152
2621	 1.27168	 1.58111	 3.84769	 6.68420	 0.87723	 1.93461	 5.15485	 0.11658	 0.13849	 0.63315	-1347.377771916	-1401683.919133073	54306.147216722
2622	 1.26858	 1.66367	 3.68496	 6.37332	 0.84118	 1.92990	 5.40452	 0.11629	 0.13815	 0.63161	-1347.399836672	-1401638.040470215	54238.203798678
2623	 1.19858	 1.73731	 3.54024	 6.37332	 0.84118	 1.99958	 5.40452	 0.11629	 0.13815	 0.63161	-1347.535344878	-1401684.788693993	54149.443815971
2624	 1.13153	 1.73311	 3.65723	 6.04331	 0.80711	 2.07807	 5.39146	 0.11601	 0.13781	 0.63008	-1347.637390215	-1401706.569679452	54069.179464710
2625	 1.13279	 1.73504	 3.58654	 6.32343	 0.77360	 2.04118	 5.39746	 0.11614	 0.13797	 0.63079	-1347.578657663	-1401707.755379379	54129.097716106
2626	 1.21244	 1.63403	 3.48343	 6.15911	 0.77580	 1.96798	 5.41280	 0.11647	 0.13836	 0.63258	-1347.497907052	-1401689.368008866	54191.460957122
2627	 1.25714	 1.51707	 3.47651	 6.33693	 0.77426	 1.96407	 5.47172	 0.11624	 0.13808	 0.63132	-1347.522681405	-1401696.487705751	54173.806301250
2628	 1.32195	 1.48464	 3.62688	 6.62942	 0.80363	 1.97294	 5.49643	 0.11676	 0.13871	 0.63417	-1347.617040724	-1401736.781185946	54119.740461788
2629	 1.28706	 1.48057	 3.75532	 6.31890	 0.83921	 1.96752	 5.32368	 0.11644	 0.13833	 0.63243	-1347.480220239	-1401692.673449263	54212.453209810
2630	 1.32128	 1.54545	 3.93540	 6.70964	 0.89081	 1.97079	 5.33252	 0.11664	 0.13856	 0.63348	-1347.538356892	-1401678.971913250	54140.615021352
2631	 1.28573	 1.61121	 4.13763	 7.03819	 0.88799	 2.01313	 5.31566	 0.11627	 0.13812	 0.63148	-1347.579885075	-1401678.064873769	54098.179798311
2632	 1.34294	 1.71717	 4.05930	 7.33914	 0.91923	 2.02066	 5.58444	 0.11670	 0.13864	 0.63384	-1347.844042948	-1401714.664118436	53870.621170209
2633	 1.31779	 1.80771	 4.25431	 7.55505	 0.91625	 2.01411	 5.56635	 0.11632	 0.13819	 0.63179	-1347.832521566	-1401677.519334922	53844.997768675
2634	 1.31519	 1.90285	 4.13409	 7.36890	 0.91444	 1.94400	 5.55535	 0.11609	 0.13791	 0.63054	-1347.800837685	-1401661.870018418	53861.032333542
2635	 1.27251	 1.85157	 4.29494	 7.81543	 0.89602	 1.94995	 5.57235	 0.11645	 0.13834	 0.63247	-1347.465232041	-1401679.362412716	54214.130371868
2636	 1.27750	 1.74735	 4.42441	 8.24925	 0.86302	 1.95759	 5.59418	 0.11350	 0.13888	 0.63495	-1347.866367433	-1401716.537888181	53850.170455501
2637	 1.28017	 1.80679	 4.23350	 8.64104	 0.90204	 1.88324	 5.60589	 0.11374	 0.13917	 0.63628	-1347.590712168	-1401714.774186913	54124.062018578
2638	 1.24082	 1.90352	 4.21587	 7.99450	 0.89828	 1.95579	 5.58255	 0.11326	 0.13859	 0.65243	-1347.832181898	-1401693.430383701	53861.248485833
2639	 1.30482	 1.87214	 4.38597	 7.86332	 0.87002	 1.95111	 5.56918	 0.11299	 0.13826	 0.65086	-1347.702499295	-1401631.008070412	53928.508775335
2640	 1.36719	 1.93308	 4.25458	 7.62210	 0.87318	 1.95819	 5.58939	 0.11340	 0.13876	 0.65322	-1347.722461001	-1401630.820007465	53908.359006525
2641	 1.32966	 2.00966	 4.00314	 7.22026	 0.91264	 1.96391	 5.60573	 0.11373	 0.13916	 0.65513	-1347.688880417	-1401649.413451870	53960.533034698
2642	 1.34772	 2.08480	 4.14882	 6.95753	 0.94512	 1.96958	 5.62190	 0.11406	 0.14336	 0.65702	-1347.562197262	-1401593.701670340	54031.504408164
2643	 1.28942	 1.99393	 4.16038	 6.73092	 1.00682	 1.97507	 5.63757	 0.11438	 0.14711	 0.65886	-1347.694025849	-1401644.701033454	53950.675184214
2644	 1.25816	 2.06549	 4.05848	 6.23120	 1.04570	 1.99748	 5.60642	 0.11375	 0.14630	 0.67943	-1347.656990326	-1401677.335773830	54020.345447941
2645	 1.21530	 2.17628	 4.07473	 6.47604	 1.02223	 2.05447	 5.62887	 0.11420	 0.14578	 0.68215	-1347.939870275	-1401699.468071925	53759.597796801
2646	 1.28557	 2.16907	 4.06124	 6.31149	 0.97569	 2.04767	 5.61023	 0.11382	 0.14530	 0.67989	-1347.760749643	-1401700.601316957	53939.851674011
2647	 1.25484	 2.14822	 3.87589	 6.08764	 1.00809	 2.05621	 5.63363	 0.11430	 0.14590	 0.68273	-1347.877206817	-1401753.317826494	53876.111009919
2648	 1.25760	 2.06085	 3.72760	 5.99817	 0.98226	 2.06073	 5.52037	 0.11455	 0.14623	 0.68423	-1347.910589913	-1401731.568071868	53820.978158928
2649	 1.20037	 2.14813	 3.86821	 6.16443	 0.96918	 2.05931	 5.51659	 0.11447	 0.14612	 0.68376	-1347.645965712	-1401720.946858403	54074.981146491
2650	 1.24660	 2.28606	 4.05478	 6.54817	 0.97232	 2.09441	 5.53446	 0.11484	 0.14660	 0.68597	-1347.840849559	-1401773.808601683	53932.959042732
2651	 1.20804	 2.19229	 3.97481	 6.52132	 1.01721	 2.08582	 5.51176	 0.11437	 0.14600	 0.68316	-1347.643640830	-1401689.771449273	54046.130619616
2652	 1.17709	 2.29062	 3.81725	 6.54276	 0.97115	 2.09268	 5.52988	 0.11475	 0.14648	 0.68541	-1347.753565231	-1401683.885778345	53930.320547238
2653	 1.17426	 2.15927	 3.97534	 6.52701	 0.94845	 2.08764	 5.51657	 0.11447	 0.14612	 0.68376	-1347.859330785	-1401690.447338259	53831.116552771
2654	 1.16870	 2.23104	 4.04701	 6.27074	 0.90036	 2.07777	 5.41731	 0.11393	 0.14543	 0.66228	-1347.537871070	-1401662.826850014	54124.955779617
2655	 1.16337	 2.16945	 3.81072	 6.08069	 0.93548	 2.06829	 5.39258	 0.11341	 0.14477	 0.65926	-1347.786334324	-1401664.226080362	53877.891756654
2656	 1.20591	 2.25252	 3.96393	 5.94913	 0.97098	 2.03289	 5.40965	 0.11377	 0.14523	 0.66135	-1347.710906909	-1401672.870414014	53961.963505149
2657	 1.20740	 2.25531	 4.22553	 5.67681	 1.00988	 2.03541	 5.51667	 0.11391	 0.14541	 0.66217	-1347.844783354	-1401673.519190050	53828.735835899
2658	 1.25636	 2.14448	 4.03296	 5.69581	 1.04375	 2.14631	 5.53514	 0.11429	 0.14589	 0.66438	-1347.714420125	-1401645.050070218	53930.629945250
2659	 1.21925	 2.13728	 3.96538	 5.67667	 0.97865	 2.13910	 5.51654	 0.11391	 0.14540	 0.66215	-1347.982929374	-1401678.426276287	53695.496902550
2660	 1.21769	 2.20403	 3.83222	 5.66941	 0.97739	 2.09449	 5.50949	 0.11376	 0.14522	 0.64345	-1347.771430521	-1401694.712622562	53923.282101993
2661	 1.28677	 2.12511	 3.69839	 5.65286	 0.97454	 1.99021	 5.29758	 0.11343	 0.14479	 0.64157	-1347.858635846	-1401720.693505395	53862.057659381
2662	 1.34527	 2.02011	 3.92770	 5.42191	 0.97716	 1.99556	 5.31183	 0.11373	 0.13831	 0.64329	-1347.567163638	-1401698.563552605	54131.399914306
2663	 1.26186	 2.10033	 3.69118	 5.27094	 0.97882	 1.91915	 5.32085	 0.11393	 0.13855	 0.64438	-1347.579226241	-1401732.181820706	54152.955579892
2664	 1.32235	 2.18333	 3.51274	 4.99814	 1.02925	 1.91356	 5.16723	 0.11360	 0.13814	 0.64251	-1347.479899061	-1401710.031128586	54230.132067554
2665	 1.36369	 2.20819	 3.35187	 4.84012	 1.02573	 1.96901	 5.21279	 0.11321	 0.13767	 0.64031	-1347.457510928	-1401671.493849573	54213.982921114
2666	 1.41352	 2.27834	 3.24831	 4.92997	 1.05035	 1.97266	 5.50488	 0.11342	 0.13793	 0.64150	-1347.720214601	-1401672.519645110	53952.305044396
2667	 1.49732	 2.36093	 3.08346	 4.77850	 1.05293	 1.90267	 5.51837	 0.11889	 0.13826	 0.62069	-1347.461338703	-1401680.701098754	54219.362395788
2668	 1.55652	 2.22207	 3.02789	 4.76920	 1.09513	 1.89896	 5.50763	 0.11866	 0.13799	 0.61948	-1347.605575273	-1401667.421424818	54061.846151634
2669	 1.64180	 2.34811	 3.24991	 4.78729	 1.09929	 1.99937	 5.35353	 0.11911	 0.14109	 0.62183	-1347.855440968	-1401654.173829306	53798.732860884
2670	 1.58266	 2.26690	 3.40096	 4.54810	 1.07159	 1.99937	 5.35353	 0.11911	 0.14109	 0.62183	-1347.708929094	-1401635.446575933	53926.517481524
2671	 1.51830	 2.31639	 3.50044	 4.33323	 1.11283	 1.99238	 5.41073	 0.11869	 0.14060	 0.61966	-1347.767146595	-1401658.828331779	53891.681737045
2672	 1.56398	 2.23326	 3.36872	 4.34779	 1.09454	 1.99907	 5.42891	 0.11909	 0.14107	 0.62174	-1347.743794178	-1401689.220417919	53945.426240026
2673	 1.56856	 2.21090	 3.51540	 4.24094	 1.15684	 2.00492	 5.29360	 0.11944	 0.14148	 0.62356	-1347.654395664	-1401701.471111177	54047.075446798
2674	 1.62222	 2.16238	 3.69670	 4.43423	 1.23465	 1.95078	 5.29358	 0.11944	 0.14148	 0.62356	-1347.788655659	-1401713.875030195	53925.219371277
2675	 1.56395	 2.18491	 3.56886	 4.52139	 1.16133	 1.90230	 5.27555	 0.11903	 0.14100	 0.62143	-1347.568790149	-1401662.889825799	54094.099677240
2676	 1.61472	 2.19318	 3.54923	 4.58522	 1.20288	 1.94078	 5.29553	 0.11948	 0.14153	 0.62379	-1347.623397161	-1401707.506335556	54084.109174263
2677	 1.61189	 2.13129	 3.41152	 4.83223	 1.26352	 1.93738	 5.28623	 0.11927	 0.14129	 0.62269	-1347.660531897	-1401746.171275944	54085.639379184
2678	 1.52055	 2.09081	 3.26622	 4.95517	 1.25846	 1.92961	 5.26504	 0.12036	 0.14072	 0.62020	-1347.450287825	-1401650.311284792	54200.023459835
2679	 1.60645	 2.02835	 3.37213	 4.86429	 1.32704	 1.88255	 5.25514	 0.12013	 0.14046	 0.61903	-1347.541318072	-1401697.722037352	54156.403964862
2680	 1.65382	 1.93862	 3.36088	 4.60625	 1.38766	 1.87626	 5.44154	 0.11973	 0.13999	 0.61696	-1347.624526180	-1401681.268369759	54056.742190011
2681	 1.60590	 1.94388	 3.47426	 4.77941	 1.39143	 1.93919	 5.45631	 0.12005	 0.14037	 0.61864	-1347.861879603	-1401686.320918231	53824.441315095
2682	 1.59960	 2.00898	 3.61390	 4.93979	 1.38597	 1.93159	 5.43491	 0.11958	 0.14506	 0.61621	-1347.808602916	-1401725.100736760	53916.497820581
2683	 1.52685	 2.09733	 3.78726	 4.95156	 1.35894	 1.97130	 5.44787	 0.11987	 0.14541	 0.61768	-1347.741775929	-1401708.691025457	53966.915096453
2684	 1.57757	 2.10317	 3.92449	 5.16697	 1.38988	 1.97679	 5.28861	 0.12409	 0.14581	 0.61940	-1347.821781016	-1401705.127025238	53883.346009416
2685	 1.65910	 2.17142	 3.73300	 5.18502	 1.44919	 1.98369	 5.30707	 0.12452	 0.14632	 0.62157	-1347.725745279	-1401656.424142797	53930.678863973
2686	 1.61133	 2.24805	 3.74472	 5.12187	 1.45374	 1.93570	 5.32375	 0.12492	 0.14678	 0.62352	-1347.588128378	-1401648.616630298	54060.488251843
2687	 1.58198	 2.36296	 3.51071	 5.13874	 1.53352	 1.94207	 5.34128	 0.12533	 0.14726	 0.62557	-1347.747999077	-1401715.648485215	53967.649408190
2688	 1.54208	 2.29272	 3.71791	 5.30383	 1.48336	 1.94582	 5.35158	 0.12557	 0.14755	 0.62678	-1347.825071367	-1401712.737649451	53887.666282610
2689	 1.51032	 2.22395	 3.82744	 5.49241	 1.44253	 1.95143	 5.36701	 0.12593	 0.14797	 0.62858	-1347.904986782	-1401709.369377888	53804.382596037
2690	 1.50317	 2.17645	 3.96803	 5.75044	 1.47174	 1.94219	 5.34161	 0.12533	 0.14727	 0.62561	-1347.837361810	-1401705.703659245	53868.341849598
2691	 1.51212	 2.05416	 3.76788	 5.72936	 1.43948	 1.93507	 5.32202	 0.12488	 0.14673	 0.62332	-1347.825331704	-1401715.368134463	53890.036430651
2692	 1.50781	 1.97888	 3.67234	 5.84481	 1.48185	 1.92956	 5.53044	 0.12452	 0.14631	 0.62154	-1347.733897726	-1401647.658270209	53913.760544508
2693	 1.45057	 1.89881	 3.53129	 5.57709	 1.48530	 1.93405	 5.54332	 0.12481	 0.14666	 0.62299	-1347.851632342	-1401679.854526396	53828.222184754
2694	 1.38203	 1.85048	 3.75565	 5.83664	 1.43842	 1.94037	 5.56141	 0.12522	 0.14713	 0.62502	-1347.747211861	-1401673.271292030	53926.059431439
2695	 1.32296	 1.79922	 3.87756	 5.55880	 1.51357	 1.94442	 5.57304	 0.12548	 0.14744	 0.62633	-1347.860751141	-1401674.620883021	53813.869742343
2696	 1.29741	 1.72482	 3.70829	 5.42806	 1.51131	 1.94153	 5.56474	 0.12529	 0.13983	 0.62539	-1347.711747909	-1401660.153307067	53948.405397811
2697	 1.28141	 1.72628	 3.52029	 5.41317	 1.50717	 1.93620	 5.54947	 0.12495	 0.13960	 0.62368	-1347.836103518	-1401723.350906757	53887.247388636
2698	 1.31513	 1.80224	 3.37092	 5.76218	 1.61047	 1.93786	 5.55424	 0.12506	 0.13972	 0.62421	-1347.861835837	-1401743.710316713	53881.874479304
2699	 1.25216	 1.88683	 3.47193	 5.51210	 1.65927	 1.93437	 5.54422	 0.12483	 0.13947	 0.62309	-1347.830397653	-1401704.712229855	53874.314577318
2700	 1.24949	 1.92260	 3.40616	 5.67373	 1.72990	 1.93026	 5.53244	 0.12456	 0.13917	 0.62177	-1347.911541650	-1401723.772052895	53812.230402949
2701	 1.21433	 1.98244	 3.55932	 5.57331	 1.61401	 2.00454	 5.54700	 0.12489	 0.13954	 0.62340	-1348.029130542	-1401709.771093539	53680.640551249
2702	 1.29143	 2.05559	 3.72288	 5.55538	 1.58930	 1.99809	 5.40628	 0.12449	 0.13909	 0.62140	-1347.843936045	-1401687.310195662	53843.374150757
2703	 1.23103	 2.12939	 3.87788	 5.50613	 1.52914	 2.00553	 5.42078	 0.12495	 0.13961	 0.62371	-1347.935364434	-1401665.043521472	53729.679087636
2704	 1.19412	 2.06502	 3.77428	 5.87027	 1.49463	 2.01449	 5.44498	 0.12551	 0.14306	 0.62649	-1347.993331710	-1401664.121521429	53670.789811183
2705	 1.25707	 2.02183	 3.67408	 5.73423	 1.50114	 2.06854	 5.34660	 0.12606	 0.14368	 0.62922	-1348.034314702	-1401692.241837943	53657.927135498
2706	 1.30021	 1.96660	 3.68513	 5.66632	 1.43666	 1.93791	 5.18069	 0.12644	 0.14411	 0.63112	-1347.707505458	-1401679.971602984	53972.466145361
2707	 1.32325	 1.93401	 3.69900	 5.54178	 1.44206	 1.94521	 5.20019	 0.12691	 0.14465	 0.63349	-1347.646396126	-1401684.261451434	54037.865325904
2708	 1.32483	 2.03315	 3.83851	 5.54842	 1.50402	 1.99052	 5.20642	 0.12707	 0.14483	 0.63425	-1347.676994771	-1401719.088376477	54042.093605815
2709	 1.37547	 2.09607	 3.82710	 5.86265	 1.42588	 1.98460	 5.07921	 0.12669	 0.14440	 0.63236	-1347.735507913	-1401658.326764655	53922.818851870
2710	 1.32668	 2.00804	 3.96599	 5.84477	 1.48934	 1.94465	 5.06373	 0.12630	 0.14396	 0.63044	-1347.606146298	-1401713.146033714	54106.999735819
2711	 1.32140	 2.06076	 4.10236	 5.82153	 1.52139	 1.93691	 5.04359	 0.12580	 0.14338	 0.62793	-1347.766975623	-1401738.881667869	53971.906045011
2712	 1.39113	 1.99993	 3.90635	 5.59598	 1.46742	 1.93346	 5.23450	 0.12558	 0.14313	 0.62681	-1347.666850883	-1401692.524421392	54025.673538814
2713	 1.35351	 1.97386	 4.06430	 5.41315	 1.42655	 1.99333	 5.05464	 0.12558	 0.14313	 0.62681	-1347.602034393	-1401669.794076765	54067.759684080
2714	 1.42789	 1.97669	 4.19622	 5.22881	 1.38098	 1.92665	 5.06190	 0.12576	 0.14333	 0.62771	-1347.513482720	-1401652.039489660	54138.556769855
2715	 1.48165	 1.98571	 4.36875	 5.36707	 1.44707	 1.93544	 5.08500	 0.12633	 0.14399	 0.63057	-1347.468319914	-1401659.286708334	54190.966794771
