Sample	theta_A	theta_B	theta_root	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
985	 0.16366	 0.52760	1137.09837	 0.00000	-9280.937116893	-91976.469869571	-832.901299356
986	 0.16560	 0.54156	1134.06366	 0.00000	-9281.134314953	-91981.590751002	-829.752398526
987	 0.16138	 0.51306	1130.17894	 0.00000	-9281.633954822	-91976.875547177	-839.464001039
988	 0.16225	 0.53424	1127.39773	 0.00000	-9281.684937942	-91966.047698745	-850.801680680
989	 0.16398	 0.50918	1125.07394	 0.00000	-9282.572373854	-91967.513214652	-858.210523887
990	 0.16436	 0.48549	1125.07394	 0.00000	-9281.525737208	-91962.504308841	-852.753063242
991	 0.17114	 0.49587	1147.86600	 0.00000	-9279.351308564	-91966.458635280	-827.054450359
992	 0.17532	 0.46776	1144.83796	 0.00000	-9280.322684174	-91987.907836021	-815.319005717
993	 0.16850	 0.49550	1148.98912	 0.00000	-9280.031481761	-91985.275553796	-815.039263813
994	 0.17139	 0.52397	1129.78798	 0.00000	-9282.102739719	-91991.306177233	-829.721219954
995	 0.16454	 0.50747	1131.08756	 0.00000	-9282.322498968	-91996.353822567	-826.871167114
996	 0.17132	 0.49415	1127.66962	 0.00000	-9281.896336655	-91993.899614087	-825.063752466
997	 0.18075	 0.50946	1096.66263	 0.00000	-9285.602999383	-91985.631618941	-870.398374887
998	 0.17629	 0.48670	1096.66263	 0.00000	-9285.512114881	-91994.391284360	-860.729864451
999	 0.18661	 0.48401	1101.08760	 0.00000	-9286.006114074	-92005.746400736	-854.314740008
1000	 0.18949	 0.50307	1105.16731	 0.00000	-9285.403498300	-91999.830421355	-854.204561650
1001	 0.19959	 0.52881	1104.02493	 0.00000	-9285.409491137	-91998.613780124	-855.481131245
1002	 0.19379	 0.55855	1140.25816	 0.00000	-9280.232570838	-91990.247983963	-812.077724416
1003	 0.20225	 0.58849	1097.28654	 0.00000	-9285.001717879	-91996.161588799	-853.855589995
1004	 0.19224	 0.62064	1130.82135	 0.00000	-9281.473591779	-91989.848127185	-824.887790600
1005	 0.18591	 0.59452	1130.82135	 0.00000	-9280.958771212	-91978.842934216	-830.744777909
1006	 0.19500	 0.56829	1130.82135	 0.00000	-9280.750400641	-91966.542598330	-840.961408085
1007	 0.18589	 0.55203	1094.05580	 0.00000	-9285.430021526	-91984.077500513	-870.222714748
1008	 0.17701	 0.53049	1095.78929	 0.00000	-9284.913373724	-91983.881145386	-865.252591857
1009	 0.17323	 0.54134	1133.61707	 0.00000	-9280.784103290	-91972.186988428	-835.654044470
1010	 0.16580	 0.57894	1131.41532	 0.00000	-9280.754871376	-91979.971934113	-827.576779646
1011	 0.15937	 0.56426	1149.43897	 0.00000	-9278.860006939	-91981.433790549	-807.166278844
1012	 0.15561	 0.58522	1146.40107	 0.00000	-9280.041752835	-91990.954622359	-809.462905987
1013	 0.15954	 0.55474	1149.76212	 0.00000	-9278.891593950	-91982.827459538	-806.088479960
1014	 0.15528	 0.58484	1124.79333	 0.00000	-9280.723717406	-91986.604636574	-820.632537482
1015	 0.14971	 0.55927	1120.44424	 0.00000	-9282.894864269	-91992.138131613	-836.810511081
1016	 0.15639	 0.53089	1117.47876	 0.00000	-9282.581328791	-92003.878347307	-821.934940600
1017	 0.16137	 0.53220	1091.45864	 0.00000	-9285.953614092	-92009.944510446	-849.591630478
1018	 0.15315	 0.51257	1091.45864	 0.00000	-9285.865988949	-92015.784457326	-842.875432162
1019	 0.14947	 0.49435	1139.64291	 0.00000	-9282.051783285	-92020.572388430	-799.945444419
1020	 0.15728	 0.51203	1141.28852	 0.00000	-9280.486658641	-92010.653735733	-794.212850672
1021	 0.15125	 0.53466	1141.28852	 0.00000	-9281.093935565	-92010.395980465	-800.543375186
1022	 0.14380	 0.55433	1106.03964	 0.00000	-9283.977510829	-92003.249082807	-836.526025486
1023	 0.14713	 0.53521	1112.22579	 0.00000	-9284.112241489	-91993.809189516	-847.313225369
1024	 0.14135	 0.52024	1117.38282	 0.00000	-9283.463166012	-91986.776960585	-847.854699531
1025	 0.14716	 0.51109	1113.89672	 0.00000	-9282.929902131	-91989.568856973	-839.730164336
1026	 0.15716	 0.52704	1111.12242	 0.00000	-9284.450034163	-91998.212552378	-846.287789249
1027	 0.16234	 0.50854	1156.07119	 0.00000	-9279.480026073	-91992.069040642	-802.731220085
1028	 0.15616	 0.48545	1151.76299	 0.00000	-9280.648903093	-92005.882133934	-800.606896999
1029	 0.15224	 0.47567	1151.76299	 0.00000	-9280.395911016	-92009.525724450	-794.433385713
1030	 0.14801	 0.49561	1093.24522	 0.00000	-9286.536082489	-92008.552839843	-856.807985047
1031	 0.15519	 0.50952	1057.11225	 0.00000	-9290.798225454	-92013.351402250	-894.630852287
1032	 0.15310	 0.48787	1053.23823	 0.00000	-9291.688428830	-92016.451716869	-900.432571435
1033	 0.14881	 0.46273	1109.85204	 0.00000	-9285.784160532	-92017.688437226	-840.153168090
1034	 0.14469	 0.48320	1115.08635	 0.00000	-9285.231217182	-92017.856993167	-834.455178649
1035	 0.14451	 0.47651	1068.92034	 0.00000	-9290.182857711	-92007.301037434	-894.527539672
1036	 0.13996	 0.45634	1095.98853	 0.00000	-9286.018148349	-92002.795853324	-857.385630166
1037	 0.13385	 0.48423	1145.44700	 0.00000	-9281.827985913	-92004.828367908	-813.451491218
1038	 0.13931	 0.51737	1149.15446	 0.00000	-9280.639437578	-91990.720955960	-815.673419816
1039	 0.14450	 0.55128	1124.29962	 0.00000	-9282.667794824	-91989.440937139	-837.237011103
1040	 0.13975	 0.57648	1127.87037	 0.00000	-9281.871325870	-91989.456144340	-829.257114363
1041	 0.13270	 0.59858	1124.45630	 0.00000	-9282.385937863	-91998.703855300	-825.155523331
1042	 0.12643	 0.57772	1120.54641	 0.00000	-9282.895837516	-91992.822213699	-836.136161465
1043	 0.12262	 0.62269	1108.10072	 0.00000	-9285.520084409	-92006.433374513	-848.767469580
1044	 0.12810	 0.59419	1105.69996	 0.00000	-9284.625764791	-91995.327494136	-850.930153776
1045	 0.13342	 0.61688	1101.16777	 0.00000	-9283.909457925	-91993.600264390	-845.494314857
1046	 0.12767	 0.64547	1055.25941	 0.00000	-9288.813925321	-91987.831174936	-900.308078273
1047	 0.12101	 0.62812	1104.64292	 0.00000	-9283.444582155	-91979.047865021	-855.397956530
1048	 0.12659	 0.65522	1100.48530	 0.00000	-9283.173467678	-91975.637241894	-856.097434881
1049	 0.13165	 0.63956	1103.12202	 0.00000	-9282.745537260	-91971.607835473	-855.847537122
1050	 0.13610	 0.60341	1107.61464	 0.00000	-9282.434379189	-91969.101737704	-855.242054190
1051	 0.13962	 0.59281	1107.61464	 0.00000	-9281.420628929	-91951.890614904	-862.315674390
1052	 0.13754	 0.63368	1148.73443	 0.00000	-9277.831690171	-91957.373479227	-820.943422484
1053	 0.13279	 0.61656	1170.45523	 0.00000	-9275.502038396	-91965.541811619	-789.478572339
1054	 0.13681	 0.62982	1117.69401	 0.00000	-9280.768305876	-91971.400399438	-836.282659325
1055	 0.14373	 0.66551	1119.67602	 0.00000	-9280.425689441	-91962.878966723	-841.377927685
1056	 0.13678	 0.63033	1149.16805	 0.00000	-9277.858978365	-91956.983339043	-821.606444609
1057	 0.13235	 0.60574	1145.20990	 0.00000	-9278.987211711	-91973.920013816	-815.952103292
1058	 0.12700	 0.58994	1120.23812	 0.00000	-9282.951218229	-91972.916644325	-856.595537967
1059	 0.11842	 0.55225	1115.44531	 0.00000	-9283.027030069	-91975.713453247	-854.556847448
1060	 0.11608	 0.57996	1115.44531	 0.00000	-9283.539827342	-91977.569160343	-857.829113078
1061	 0.12149	 0.59313	1085.37317	 0.00000	-9286.554823411	-91984.620532095	-880.927702016
1062	 0.11921	 0.57974	1088.17855	 0.00000	-9285.970863532	-91975.584966320	-884.123668999
1063	 0.11351	 0.55316	1142.77838	 0.00000	-9280.140054465	-91973.976320053	-827.424224596
1064	 0.11751	 0.52918	1097.82871	 0.00000	-9283.777678669	-91970.507363498	-867.269423193
1065	 0.12063	 0.55051	1101.35431	 0.00000	-9283.618758270	-91961.451114710	-874.736467992
1066	 0.11542	 0.53872	1099.12313	 0.00000	-9283.080142671	-91952.221692314	-878.579734393
1067	 0.11994	 0.53051	1149.66885	 0.00000	-9277.511422957	-91950.713501898	-824.400727673
1068	 0.11438	 0.51841	1149.66885	 0.00000	-9277.197132447	-91955.706741459	-816.264583008
1069	 0.11986	 0.48620	1189.52981	 0.00000	-9273.065934619	-91944.798072910	-785.861273281
1070	 0.12553	 0.47186	1140.56207	 0.00000	-9278.597094194	-91948.070127985	-837.900813959
